name,price,core_count,core_clock,boost_clock,tdp,graphics,smt,codename,socket,lithography,cache,supported_mem,supported_chipset,release_date,pmprice,cpuMark,threadMark,powerPerf,category,Blender Score,Number of Benchmarks
AMD Ryzen 5 5600X,168.99,6,3.7,4.6,65,,TRUE,Vermeer,Socket AM4,7 nm,32 MB,DDR4,"AMD 300 Series*, AMD 400 Series, AMD 500 Series","Nov 5th, 2020",216.99,22088,3377,339.82,Desktop,152.16,170
AMD Ryzen 7 5800X,228.72,8,3.8,4.7,105,,TRUE,Vermeer,Socket AM4,7 nm,32 MB,DDR4,"AMD 300 Series*, AMD 400 Series, AMD 500 Series","Nov 5th, 2020",333.99,28368,3485,270.17,Desktop,213.65,272
AMD Ryzen 5 5600,138,6,3.5,4.4,65,,TRUE,Vermeer,Socket AM4,7 nm,32 MB,DDR4,"AMD 300 Series*, AMD 400 Series, AMD 500 Series","Apr 20th, 2022",189.99,21350,3208,328.46,Desktop,154.46,129
Intel Core i5-12400F,149.97,6,2.5,4.4,65,,TRUE,Alder Lake-S,Socket 1700,10 nm,18 MB,"DDR4, DDR5","Intel 600 Series, Intel 700 Series","Jan 4th, 2022",174.98,19659,3567,302.44,Desktop,160.69,102
AMD Ryzen 7 5800X3D,329.99,8,3.4,4.5,105,,TRUE,Vermeer,Socket AM4,7 nm,96 MB,DDR4,"AMD 300 Series*, AMD 400 Series, AMD 500 Series","Apr 20th, 2022",599,25508,2850,242.93,Desktop,210.93,120
Intel Core i7-12700K,241.99,12,3.6,5,125,Intel UHD Graphics 770,TRUE,Alder Lake-S,Socket 1700,10 nm,25 MB,"DDR4, DDR5","Z690, H670, B660, H610","Nov 4th, 2021",409,34125,4047,179.61,Desktop,294.64,84
AMD Ryzen 5 5500,99,6,3.6,4.2,65,,TRUE,Cezanne,Socket AM4,7 nm,16 MB,DDR4,"AMD 300 Series*, AMD 400 Series, AMD 500 Series","Apr 4th, 2022",159,19949,3096,306.9,Desktop,144.71,102
AMD Ryzen 5 3600,104.99,6,3.6,4.2,65,,TRUE,Matisse,Socket AM4,7 nm,32 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Jul 7th, 2019",153.49,17822,2576,274.18,Desktop,128.41,159
AMD Ryzen 7 5700X,178,8,3.4,4.6,65,,TRUE,Vermeer,Socket AM4,7 nm,32 MB,DDR4,"AMD 300 Series*, AMD 400 Series, AMD 500 Series","Apr 4th, 2022",299,27065,3397,416.38,Desktop,202.95,161
Intel Core i5-12600K,189.99,10,3.7,4.9,125,Intel UHD Graphics 770,TRUE,Alder Lake-S,Socket 1700,10 nm,20 MB,"DDR4, DDR5","Z690. H670, B660, H610","Nov 4th, 2021",277.98,27429,3965,182.86,Desktop,226.26,55
AMD Ryzen 5 5600G,139,6,3.9,4.4,65,Radeon Vega 7,TRUE,Cezanne,Socket AM4,7 nm,16 MB,DDR4,"AMD 300 Series*, AMD 400 Series, AMD 500 Series","Apr 13th, 2021",179.97,19830,3187,305.08,Desktop,144.67,93
AMD Ryzen 9 5900X,349,12,3.7,4.8,105,,TRUE,Vermeer,Socket AM4,7 nm,64 MB,DDR4,"AMD 300 Series*, AMD 400 Series, AMD 500 Series","Nov 5th, 2020",393.03,39457,3494,375.78,Desktop,311.55,376
Intel Core i3-12100F,88.12,4,3.3,4.3,58,,TRUE,Alder Lake-S,Socket 1700,10 nm,12 MB,"DDR4, DDR5","Intel 600 Series, Intel 700 Series",Jan-22,107.99,14490,3532,249.83,Server,109.8,18
AMD Ryzen 7 5700G,165.94,8,3.8,4.6,65,Radeon Vega 8,TRUE,Cezanne,Socket AM4,7 nm,16 MB,DDR4,,"Apr 13th, 2021",233,24545,3281,377.62,Desktop,191.28,59
Intel Core i9-12900K,344.99,16,3.2,5.2,125,Intel UHD Graphics 770,TRUE,Alder Lake-S,Socket 1700,10 nm,30 MB,"DDR4, DDR5","Z690, H670, B660, H610","Nov 4th, 2021",599.95,41077,4209,170.44,Desktop,343.42,91
AMD Ryzen 5 4500,78.2,6,3.6,4.1,65,,TRUE,Renoir,Socket AM4,7 nm,8 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Apr 4th, 2022",141.75,16698,2605,256.89,Desktop,127.63,11
Intel Core i5-10400F,114.64,6,2.9,4.3,65,,TRUE,Comet Lake,Socket 1200,14 nm,12 MB,DDR4,,"Apr 30th, 2020",124.99,12439,2572,191.37,Desktop,113.22,29
AMD Ryzen 7 3700X,239,8,3.6,4.4,65,,TRUE,Matisse,Socket AM4,7 nm,32 MB,DDR4,"A300, X300, A320, B350, X370, B450, X470, A520, B550, X570","Jul 7th, 2019",367.52,22716,2680,349.48,Desktop,181.81,134
Intel Core i7-12700KF,219.99,12,3.6,5,125,,TRUE,Alder Lake-S,Socket 1700,10 nm,25 MB,"DDR4, DDR5","Z690, H670, B660, H610","Nov 4th, 2021",350.99,34110,4054,179.53,Desktop,295.41,44
AMD Ryzen 9 5950X,390,16,3.4,4.9,105,,TRUE,Vermeer,Socket AM4,7 nm,64 MB,DDR4,"AMD 300 Series*, AMD 400 Series, AMD 500 Series","Nov 5th, 2020",649.74,46195,3498,439.96,Desktop,413.43,458
AMD Ryzen 5 4600G,104,6,3.7,4.2,65,Radeon Vega 7,TRUE,Renoir,Socket AM4,7 nm,8 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Jul 21st, 2020",,15577,2658,239.65,Desktop,131.48,2
Intel Core i3-10100F,75.83,4,3.6,4.3,65,,TRUE,Comet Lake,Socket 1200,14 nm,6 MB,DDR4,"H410, B460, H470, Z490","Apr 30th, 2020",79.99,8854,2604,136.22,Desktop,81.5,21
Intel Core i5-12400,172.99,6,2.5,4.4,65,Intel UHD Graphics 730,TRUE,Alder Lake-S,Socket 1700,10 nm,18 MB,"DDR4, DDR5","Intel 600 Series, Intel 700 Series","Jan 4th, 2022",192,19571,3532,301.09,Desktop,159.61,39
Intel Core i5-12600KF,219,10,3.7,4.9,125,,TRUE,Alder Lake-S,Socket 1700,10 nm,20 MB,"DDR4, DDR5","Z690. H670, B660, H610","Nov 4th, 2021",260.98,27186,3967,181.24,Desktop,218.2,11
Intel Core i5-11400F,130.97,6,2.6,4.4,65,,TRUE,Rocket Lake,Socket 1200,14 nm,12 MB,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",149.99,17213,3023,264.82,Desktop,140.51,23
Intel Core i7-9700K,339,8,3.6,4.9,95,Intel UHD Graphics 630,FALSE,Coffee Lake,Socket 1151,14 nm,12 MB,DDR4,,"Oct 19th, 2018",390.99,14550,2899,153.16,Desktop,125.71,48
AMD Ryzen 5 2600,165,6,3.4,3.9,65,,TRUE,Zen,Socket AM4,12 nm,16 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Apr 19th, 2018",124.88,13195,2250,202.99,Desktop,108.93,82
Intel Core i7-11700K,272.87,8,3.6,5,125,Intel UHD Graphics 750,TRUE,Rocket Lake,Socket 1200,14 nm,16 MB,DDR4,"H510, B560, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",297,24749,3429,197.99,Desktop,206.26,26
AMD Ryzen 3 3200G,72.75,4,3.6,4,65,Radeon Vega 8,FALSE,Picasso,Socket AM4,12 nm,4 MB,DDR4,,"Jul 7th, 2019",,7037,2216,108.26,Desktop,44.61,10
AMD Ryzen 5 3600X,210,6,3.8,4.4,95,,TRUE,Matisse,Socket AM4,7 nm,32 MB,DDR4,"A300, X300, A320, B350, X370, B450, X470, A520, B550, X570","Jul 7th, 2019",209.99,18285,2670,192.47,Desktop,135.74,24
Intel Core i7-10700K,283.95,8,3.8,5.1,125,Intel UHD Graphics 630,TRUE,Comet Lake,Socket 1200,14 nm,16 MB,DDR4,"H410, B460, H470, Z490","Apr 30th, 2020",328.98,19277,3074,154.22,Desktop,177.8,39
Intel Core i9-9900K,565,8,3.6,5,95,Intel UHD Graphics 630,TRUE,Coffee Lake-R,Socket 1151,14 nm,16 MB,DDR4,,"Oct 19th, 2018",622,18716,2960,197.02,Desktop,168.76,84
Intel Core i5-11600K,184,6,3.9,4.9,125,Intel UHD Graphics 750,TRUE,Rocket Lake,Socket 1200,14 nm,12 MB,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",209.99,19781,3374,158.25,Desktop,153.7,11
AMD Ryzen 7 2700X,220,8,3.7,4.3,105,,TRUE,Zen,Socket AM4,12 nm,16 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Apr 19th, 2018",,17221,2395,164.01,Desktop,152.42,26
AMD Ryzen 9 3900X,365,12,3.8,4.6,105,,TRUE,Matisse,Socket AM4,7 nm,64 MB,DDR4,"A300, X300, A320, B350, X370, B450, X470, A520, B550, X570","Jul 7th, 2019",359,32751,2725,311.92,Desktop,277.49,85
Intel Core i7-8700K,279,6,3.7,4.7,95,Intel UHD Graphics 630,TRUE,Coffee Lake,Socket 1151,14 nm,12 MB,DDR4,,"Oct 5th, 2017",309,13850,2764,145.79,Desktop,124.73,73
Intel Core i3-12100,114.99,4,3.3,4.3,60,Intel UHD Graphics 730,TRUE,Alder Lake-S,Socket 1700,10 nm,12 MB,"DDR4, DDR5","Intel 600 Series, Intel 700 Series","Jan 4th, 2022",122,14503,3549,241.72,Desktop,113.35,7
Intel Core i5-9400F,135,6,2.9,4.1,65,,FALSE,Coffee Lake,Socket 1151,14 nm,9 MB,DDR4,,"Jan 8th, 2019",129.99,9544,2471,146.84,"Desktop, Laptop",79.26,22
Intel Core i7-7700K,310,4,4.2,4.5,91,Intel HD Graphics 630,TRUE,Kaby Lake,Socket 1151,14 nm,8 MB,DDR4,,"Jan 3rd, 2017",349.44,9658,2730,101.66,Desktop,87.03,18
Intel Core i7-12700F,284.99,12,2.1,4.9,65,,TRUE,Alder Lake-S,Socket 1700,10 nm,25 MB,"DDR4, DDR5","Intel 600 Series, Intel 700 Series","Jan 4th, 2022",312.96,32268,3987,496.43,Desktop,246.83,26
AMD Ryzen 7 3800X,275.99,8,3.9,4.5,105,,TRUE,Matisse,Socket AM4,7 nm,32 MB,DDR4,"A300, X300, A320, B350, X370, B450, X470, A520, B550, X570","Jul 7th, 2019",248.59,23275,2735,221.67,Desktop,176.66,47
Intel Core i9-11900K,299,8,3.5,5.3,125,Intel UHD Graphics 750,TRUE,Rocket Lake,Socket 1200,14 nm,16 MB,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",397.97,25539,3519,204.31,Desktop,212.95,28
Intel Core i5-10400,131.13,6,2.9,4.3,65,Intel UHD Graphics 630,TRUE,Comet Lake,Socket 1200,14 nm,12 MB,DDR4,,"Apr 30th, 2020",149.99,12320,2587,189.53,Desktop,106.8,18
Intel Core i9-10900K,341.94,10,3.7,5.3,125,Intel UHD Graphics 630,TRUE,Comet Lake,Socket 1200,14 nm,20 MB,DDR4,"H410, B460, H470, Z490","Apr 30th, 2020",389.97,23768,3167,190.14,Desktop,231.89,39
Intel Core i7-10700F,218.13,8,2.9,4.8,65,,TRUE,Comet Lake,Socket 1200,14 nm,16 MB,DDR4,,"Apr 30th, 2020",249.99,16973,2919,261.12,Desktop,145.86,15
Intel Core i7-6700K,220,4,4,4.2,91,Intel HD Graphics 530,TRUE,Skylake,Socket 1151,14 nm,8 MB,DDR4,,"Aug 1st, 2015",230,8967,2520,94.39,Desktop,79.98,31
Intel Core i5-9600K,219.99,6,3.7,4.6,95,Intel UHD Graphics 630,FALSE,Coffee Lake,Socket 1151,14 nm,9 MB,DDR4,,"Oct 19th, 2018",232.6,10793,2773,113.61,Desktop,93.03,30
AMD Ryzen 5 3400G,121.99,4,3.7,4.2,65,Radeon Vega 11,TRUE,Picasso,Socket AM4,12 nm,4 MB,DDR4,"AMD 300 series, AMD 400 Series, AMD 500 Series","Jul 7th, 2019",,9307,2330,143.18,Desktop,70.49,12
Intel Core i5-10600K,175.48,6,4.1,4.8,125,Intel UHD Graphics 630,TRUE,Comet Lake,Socket 1200,14 nm,12 MB,DDR4,,"Apr 30th, 2020",212.97,14534,2936,116.27,Desktop,132.52,11
AMD Ryzen 5 2600X,215,6,3.6,4.2,95,,TRUE,Zen,Socket AM4,12 nm,16 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Apr 19th, 2018",154.39,14053,2406,147.92,Desktop,113.83,20
Intel Core i9-10850K,249.63,10,3.6,5.2,125,Intel UHD Graphics 630,TRUE,Comet Lake,Socket 1200,14 nm,20 MB,DDR4,"H410, B460, H470, Z490","Jul 27th, 2020",408.44,23055,3091,184.44,Desktop,226.43,19
AMD Ryzen 3 3100,85.99,4,3.6,3.9,65,,TRUE,Matisse,Socket AM4,7 nm,16 MB,DDR4,,"Apr 24th, 2020",137.95,11660,2427,179.38,Desktop,78.55,8
Intel Core i5-11400,144.88,6,2.6,4.4,65,Intel UHD Graphics 730,TRUE,Rocket Lake,Socket 1200,14 nm,12 MB,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",174.21,17132,3048,263.57,Desktop,134.51,15
Intel Core i7-11700,194.99,8,2.5,4.9,65,Intel UHD Graphics 750,TRUE,Rocket Lake,Socket 1200,14 nm,16 MB,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",316.99,20588,3146,216.72,Desktop,164.54,7
AMD Ryzen 9 3950X,575,16,3.5,4.7,105,,TRUE,Matisse,Socket AM4,7 nm,64 MB,DDR4,"A300, X300, A320, B350, X370, B450, X470, A520, B550, X570","Nov 25th, 2019",650,39157,2738,372.92,Desktop,354.66,35
Intel Core i3-10105F,78.05,4,3.7,4.4,65,,TRUE,Comet Lake-R,Socket 1200,14 nm,6 MB,DDR4,,"Mar 16th, 2021",78.99,9141,2675,,Desktop,76.1,5
Intel Core i7-4790K,,4,4,4.4,88,Intel HD Graphics 4600,TRUE,Haswell,Socket 1150,22 nm,8 MB,DDR3,"Z87, H87, Z97, H97","May 1st, 2014",206.87,8061,2467,91.6,Desktop,72.81,29
Intel Core i7-8700,313,6,3.2,4.6,65,Intel UHD Graphics 630,TRUE,Coffee Lake,Socket 1151,14 nm,12 MB,DDR4,,"Jan 1st, 2018",260.99,13046,2662,200.71,Desktop,108.85,28
Intel Core i5-8400,185,6,2.8,4,65,Intel UHD Graphics 630,FALSE,Coffee Lake,Socket 1151,14 nm,9 MB,DDR4,,"Oct 5th, 2017",230,9222,2404,141.88,Desktop,76.1,10
Intel Core i9-12900KF,398.99,16,3.2,5.2,125,,TRUE,Alder Lake-S,Socket 1700,10 nm,30 MB,"DDR4, DDR5","Z690, H670, B660, H610","Nov 4th, 2021",572.98,41163,4217,170.8,Desktop,354.84,19
Intel Core i7-12700,318.99,12,2.1,4.9,65,Intel UHD Graphics 770,TRUE,Alder Lake-S,Socket 1700,10 nm,25 MB,"DDR4, DDR5","Intel 600 Series, Intel 700 Series",Jan-22,328,31659,3948,487.07,Desktop,257.67,35
Intel Core i5-6600K,188,4,3.5,3.9,91,Intel HD Graphics 530,FALSE,Skylake,Socket 1151,14 nm,6 MB,DDR4,,"Jul 2nd, 2015",135,6307,2332,69.31,Desktop,48.91,6
Intel Core i9-12900KS,389.99,16,3.4,5.5,150,Intel UHD Graphics 770,TRUE,Alder Lake-S,Socket 1700,10 nm,30 MB,"DDR4, DDR5",,"Apr 5th, 2022",779.98,44243,4317,294.95,Desktop,361.14,18
AMD Ryzen 5 1600,250,6,3.2,3.6,65,,TRUE,Zen,Socket AM4,14 nm,16 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Apr 11th, 2017",,10401,1685,160.01,Desktop,96.78,10
AMD Ryzen 7 2700,185,8,3.2,4.1,65,,TRUE,Zen,Socket AM4,12 nm,16 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Apr 19th, 2018",,15059,2145,231.67,Desktop,133.35,11
Intel Core i5-6500,140,4,3.2,3.6,65,Intel HD Graphics 530,FALSE,Skylake,Socket 1151,14 nm,6 MB,DDR4,"Z170, B150, H110","Jul 2nd, 2015",129,5655,2123,87,Desktop,44.46,4
Intel Core i7-7700,245,4,3.6,4.2,65,Intel HD Graphics 630,TRUE,Kaby Lake,Socket 1151,14 nm,8 MB,DDR4,,"Jan 3rd, 2017",219.99,8638,2472,132.9,Desktop,85.04,18
Intel Core i7-11700KF,260,8,3.6,5,125,,TRUE,Rocket Lake,Socket 1200,14 nm,16 MB,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",279,24147,3420,193.17,Desktop,207,4
Intel Core i3-9100F,110,4,3.6,4.2,65,,FALSE,Coffee Lake,Socket 1151,14 nm,6 MB,DDR4,,"Apr 23rd, 2019",124,6768,2519,104.12,Desktop,50.53,5
Intel Core i7-11700F,223.57,8,2.5,4.9,65,,TRUE,Rocket Lake,Socket 1200,14 nm,16 MB,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",289.99,21447,3339,329.95,Desktop,193.17,6
Intel Core i3-10100,104.94,4,3.6,4.3,65,Intel UHD Graphics 630,TRUE,Comet Lake,Socket 1200,14 nm,6 MB,DDR4,,"Apr 30th, 2020",112.99,8800,2637,135.39,Desktop,73.15,3
Intel Core i5-4690K,90,4,3.5,3.9,88,Intel HD Graphics 4600,FALSE,Haswell,Socket 1150,22 nm,6 MB,DDR3,"Intel 80 Series, Intel 90 Series","Jun 2nd, 2014",69.99,5623,2197,63.9,Desktop,53.71,6
Intel Core i7-6700,233,4,3.4,4,65,Intel HD Graphics 530,TRUE,Skylake,Socket 1151,14 nm,8 MB,DDR4,,"Jul 1st, 2015",255,8078,2300,124.27,Desktop,70.55,22
Intel Core i7-10700,239.75,8,2.9,4.8,65,Intel UHD Graphics 630,TRUE,Comet Lake,Socket 1200,14 nm,16 MB,DDR4,,"Apr 30th, 2020",268.99,16946,2922,260.71,Desktop,136.37,17
Intel Core i7-3770,143,4,3.4,3.4,77,Intel HD Graphics 4000,TRUE,Ivy Bridge,Socket 1155,22 nm,8 MB,DDR3,"Intel 6 Series, Intel 7 Series","Apr 29th, 2012",139.98,6397,2076,83.08,Desktop,40.56,14
Intel Core i5-8600K,245,6,3.6,4.3,95,Intel UHD Graphics 630,FALSE,Coffee Lake,Socket 1151,14 nm,9 MB,DDR4,,"Oct 5th, 2017",235.99,10195,2609,107.32,Desktop,101.55,28
AMD Ryzen 3 2200G,150,4,3.5,3.7,65,Radeon Vega 8,FALSE,Raven Ridge,Socket AM4,14 nm,4 MB,DDR4,"AMD 300 Series, AMD 400 Series","Feb 12th, 2018",,6703,2058,103.13,Desktop,44.2,8
Intel Core i7-4770,125,4,3.4,3.9,84,Intel HD Graphics 4600,TRUE,Haswell,Socket 1150,22 nm,8 MB,DDR3,"Z87, H87, Z97, H97","Jun 2nd, 2013",178.69,7030,2166,83.69,Desktop,60.17,6
Intel Core i5-12500,232.99,6,3,4.6,65,Intel UHD Graphics 770,TRUE,Alder Lake-S,Socket 1700,10 nm,18 MB,"DDR4, DDR5","Intel 600 Series, Intel 700 Series","Jan 4th, 2022",202,20309,3759,312.45,Desktop,160.55,5
Intel Core i5-7500,132.3,4,3.4,3.8,65,Intel HD Graphics 630,FALSE,Kaby Lake,Socket 1151,14 nm,6 MB,DDR4,,"Jan 3rd, 2017",165.99,6064,2284,93.3,Desktop,47.49,12
Intel Core i7-9700,340,8,3,4.7,65,Intel HD Graphics 630,FALSE,Coffee Lake,Socket 1151,14 nm,12 MB,DDR4,,"Apr 23rd, 2019",322.85,13385,2782,205.93,Desktop,105.07,15
Intel Core i5-7600K,218,4,3.8,4.2,91,Intel HD Graphics 630,FALSE,Kaby Lake,Socket 1151,14 nm,6 MB,DDR4,,"Jan 3rd, 2017",165.99,6869,2566,75.49,Desktop,59.64,8
Intel Core i9-9900KF,395,8,3.6,5,95,,TRUE,Coffee Lake-R,Socket 1151,14 nm,16 MB,DDR4,,"Jan 8th, 2019",502.13,18691,2968,196.75,Desktop,181.43,26
AMD Ryzen 5 2400G,135,4,3.6,3.9,65,Radeon Vega 11,TRUE,Raven Ridge,Socket AM4,14 nm,4 MB,DDR4,"AMD 300 Series, AMD 400 Series","Feb 12th, 2018",,8378,2132,128.89,Desktop,45.38,6
AMD Ryzen 7 1700,215,8,3,3.7,65,,TRUE,Zen,Socket AM4,14 nm,16 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Mar 2nd, 2017",,14590,2026,224.45,Desktop,125.61,19
Intel Core i5-10600KF,164.99,6,4.1,4.8,125,,TRUE,Comet Lake,Socket 1200,14 nm,12 MB,DDR4,,"Apr 30th, 2020",184.98,14575,2948,116.6,Desktop,119.68,5
Intel Core i7-10700KF,268.66,8,3.8,5.1,125,,TRUE,Comet Lake,Socket 1200,14 nm,16 MB,DDR4,,"Apr 30th, 2020",309.99,19143,3056,153.14,Desktop,181.05,13
AMD Ryzen 9 3900XT,390,12,3.8,4.7,105,,TRUE,Matisse 2,Socket AM4,7 nm,64 MB,DDR4,,"Jul 7th, 2020",618.77,32869,2786,313.04,Desktop,268.04,14
Intel Core i5-3470,200,4,3.2,3.2,77,Intel HD Graphics 2500,FALSE,Ivy Bridge,Socket 1155,22 nm,6 MB,DDR3,,"Jun 1st, 2012",105.57,4657,1943,60.48,Desktop,28.35,12
Intel Core i5-7400,153,4,3,3.5,65,Intel HD Graphics 630,FALSE,Kaby Lake,Socket 1151,14 nm,6 MB,DDR4,,"Jan 3rd, 2017",175,5499,2103,84.6,Desktop,43.59,9
Intel Core i7-9700F,349,8,3,4.7,65,,FALSE,Coffee Lake,Socket 1151,14 nm,12 MB,DDR4,,"Apr 23rd, 2019",340.99,13462,2796,207.11,Desktop,106.97,2
Intel Core i5-4460,89.54,4,3.2,3.4,84,Intel HD Graphics 4600,FALSE,Haswell,Socket 1150,22 nm,6 MB,DDR3,"Intel 80 Series, Intel 90 Series","May 11th, 2014",79.46,4834,1902,57.55,Desktop,37.33,3
AMD Ryzen 3 3300X,195,4,3.8,4.3,65,,TRUE,Matisse,Socket AM4,7 nm,16 MB,DDR4,,"Apr 24th, 2020",269.99,12746,2689,196.1,Desktop,89.18,3
Intel Core i9-10900KF,318.95,10,3.7,5.3,125,,TRUE,Comet Lake,Socket 1200,14 nm,20 MB,DDR4,,"Apr 30th, 2020",339.99,23508,3141,188.06,Desktop,199.1,15
Intel Core i7-9700KF,297,8,3.6,4.9,95,,FALSE,Coffee Lake,Socket 1151,14 nm,12 MB,DDR4,,"Jan 8th, 2019",424.99,14499,2920,152.62,Desktop,121.01,7
Intel Core i7-3770K,275,4,3.5,3.5,77,Intel HD Graphics 4000,TRUE,Ivy Bridge,Socket 1155,22 nm,8 MB,DDR3,,"Apr 29th, 2012",136.48,6462,2082,83.93,Desktop,42.09,7
AMD Ryzen 5 1600X,140,6,3.6,4,95,,TRUE,Zen,Socket AM4,14 nm,16 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Apr 11th, 2017",169.46,12943,2183,136.25,Desktop,98.93,4
Intel Core i5-4590,,4,3.3,3.7,84,Intel HD Graphics 4600,FALSE,Haswell,Socket 1150,22 nm,6 MB,DDR3,,"May 1st, 2014",58,5344,2093,63.62,Desktop,47.07,6
Intel Core i3-10105,104.69,4,3.7,4.4,65,Intel UHD Graphics 630,TRUE,Comet Lake-R,Socket 1200,14 nm,6 MB,DDR4,,"Mar 16th, 2021",107,8928,2718,137.36,Desktop,102.08,1
Intel Core i7-4790,319.66,4,3.6,4,84,Intel HD Graphics 4600,TRUE,Haswell,Socket 1150,22 nm,8 MB,DDR3,"Z87, H87, Z97, H97","May 1st, 2014",200,7235,2234,86.13,Desktop,64.05,30
Intel Core i5-11600KF,206.98,6,3.9,4.9,125,,TRUE,Rocket Lake,Socket 1200,14 nm,12 MB,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",232.49,19742,3359,157.93,Desktop,153.84,2
Intel Core i7-4770K,192,4,3.5,3.9,84,Intel HD Graphics 4600,TRUE,Haswell,Socket 1150,22 nm,8 MB,DDR3,"Z87, H87, Z97, H97","Jun 2nd, 2013",329.99,7129,2165,84.87,Desktop,69.26,10
Intel Core i3-8100,163,4,3.6,3.6,65,Intel UHD Graphics 630,FALSE,Coffee Lake,Socket 1151,14 nm,6 MB,DDR4,,"Oct 5th, 2017",169.99,6163,2240,94.82,Desktop,58.74,2
