name,price,core_count,core_clock,boost_clock,tdp,graphics,smt,codename,socket,lithography,cache,supported_mem,supported_chipset,release_date,pmprice,cpuMark,threadMark,powerPerf,category,Blender Score,Number of Benchmarks
AMD Ryzen 7 3800XT,407.95,8,3.9,4.7,105,,TRUE,Matisse 2,Socket AM4,7 nm,32 MB,DDR4,,"Jul 7th, 2020",391.65,23815,2845,226.81,Desktop,183.84,7
AMD Ryzen 5 3600XT,389,6,3.8,4.5,95,,TRUE,Matisse 2,Socket AM4,7 nm,32 MB,DDR4,,"Jul 7th, 2019",327.52,18780,2794,197.69,Desktop,145.11,3
AMD Ryzen 7 1700X,251,8,3.4,3.8,95,,TRUE,Zen,Socket AM4,14 nm,16 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Mar 2nd, 2017",168.06,15496,2074,163.12,Desktop,128.57,9
AMD Ryzen 5 3500X,,6,3.6,4.1,65,,FALSE,Matisse,Socket AM4,7 nm,32 MB,DDR4,"A300, X300, A320, B350, X370, B450, X470, A520, B550, X570","Sep 24th, 2019",184.95,13319,2525,204.91,Desktop,79.69,38
Intel Core i9-10980XE,923,18,3,4.8,165,,TRUE,Cascade Lake-X,Socket 2066,14 nm,24.75 MB,DDR4,,"Oct 19th, 2019",999.99,33408,2667,202.47,Desktop,307.69,3
Intel Core i5-12600,257.99,6,3.3,4.8,65,Intel UHD Graphics 770,TRUE,Alder Lake-S,Socket 1700,10 nm,18 MB,"DDR4, DDR5","Intel 600 Series, Intel 700 Series",Jan-22,238.97,21368,3883,328.73,Desktop,85.19,2
Intel Core i9-11900KF,,8,3.5,5.3,125,,TRUE,Rocket Lake,Socket 1200,14 nm,16 MB,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",379.98,25390,3563,203.12,Desktop,158.98,2
Intel Core i5-9400,210,6,2.9,4.1,65,Intel UHD Graphics 630,FALSE,Coffee Lake,Socket 1151,14 nm,9 MB,DDR4,,"Oct 19th, 2018",139.99,9478,2479,145.82,Desktop,72.39,3
Intel Core i7-2600,155.62,4,3.4,3.4,95,Intel HD Graphics 2000,TRUE,Sandy Bridge,Socket 1155,32 nm,8 MB,DDR3,,"Jan 9th, 2011",89,5344,1741,56.25,Desktop,36.03,7
Intel Core i5-6400,,4,2.7,3.3,65,Intel HD Graphics 530,FALSE,Skylake,Socket 1151,14 nm,6 MB,DDR4,"Intel 100 Series, Intel 200 Series","Jul 2nd, 2015",129.99,5163,1964,79.43,Desktop,43.52,5
AMD Ryzen 5 1400,110,4,3.2,3.4,65,,TRUE,Zen,Socket AM4,14 nm,8 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Apr 11th, 2017",109.65,7783,1904,119.74,Desktop,55.67,4
Intel Core i5-4570,121.16,4,3.2,3.2,84,Intel HD Graphics 4600,FALSE,Haswell,Socket 1150,22 nm,6 MB,DDR3,,"Jun 2nd, 2013",99.99,5199,2036,61.9,Desktop,45.14,3
Intel Core i5-3570K,125,4,3.4,3.4,77,Intel HD Graphics 4000,FALSE,Ivy Bridge,Socket 1155,22 nm,6 MB,DDR3,,"Apr 29th, 2012",65.64,4936,2049,64.11,Desktop,28.75,4
Intel Core i5-9600KF,230,6,3.7,4.6,95,,FALSE,Coffee Lake,Socket 1151,14 nm,9 MB,DDR4,,"Jan 8th, 2019",159,10838,2786,114.08,Desktop,96.47,8
Intel Core i5-2400,170.99,4,3.1,3.1,95,Intel HD Graphics 2000,FALSE,Sandy Bridge,Socket 1155,32 nm,6 MB,DDR3,,"Jan 9th, 2011",88.57,3840,1580,40.42,Desktop,21.28,2
Intel Core i9-9900KS,1989,8,4,5,127,Intel UHD Graphics 630,TRUE,Coffee Lake-R,Socket 1151,14 nm,16 MB,DDR4,,"Oct 28th, 2019",898.3,19518,3039,153.69,Desktop,163.71,8
AMD Ryzen 5 3500,,6,3.6,4.1,65,,FALSE,Picasso,Socket FP5,12 nm,4 MB,DDR4,,"Jan 6th, 2019",,12836,2515,197.47,Desktop,87.5,12
Intel Core i5-8500,258.27,6,3,4.1,65,Intel UHD Graphics 630,FALSE,Coffee Lake,Socket 1151,14 nm,9 MB,DDR4,,"Feb 14th, 2018",190,9576,2485,147.32,Desktop,84.5,6
AMD Ryzen 5 1500X,225,4,3.5,3.7,65,,TRUE,Zen,Socket AM4,14 nm,16 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Apr 11th, 2017",120.36,9083,2110,139.75,Desktop,66.85,5
AMD Athlon 3000G,98.99,2,3.5,3.5,35,Radeon Vega 3,TRUE,Zen,Socket AM4,14 nm,4 MB,DDR4,,"Nov 20th, 2019",54.99,4480,1999,128.01,Desktop,11.92,1
Intel Pentium Gold G6400,53.94,2,4,4,58,Intel UHD Graphics 610,TRUE,Comet Lake,Socket 1200,14 nm,4 MB,DDR4,,"Apr 30th, 2020",74.63,4130,2484,71.21,Desktop,28.84,1
AMD Ryzen 7 1800X,295,8,3.6,4,95,,TRUE,Zen,Socket AM4,14 nm,16 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Mar 2nd, 2017",178.03,16306,2186,171.64,Desktop,157.66,4
Intel Core i3-6100,100,2,3.7,3.7,51,Intel HD Graphics 530,TRUE,Skylake,Socket 1151,14 nm,4 MB,DDR4,,"Sep 1st, 2015",131.51,4177,2220,81.9,Desktop,39.48,2
AMD Ryzen 3 1200,115,4,3.1,3.4,65,,FALSE,Zen,Socket AM4,14 nm,8 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Jul 27th, 2017",103.55,6304,1927,96.98,Desktop,34.8,1
Intel Core i5-4690,100.12,4,3.5,3.9,84,Intel HD Graphics 4600,FALSE,Haswell,Socket 1150,22 nm,6 MB,DDR3,,"May 1st, 2014",118.88,5572,2205,66.33,Desktop,28.5,1
Intel Core i9-12900F,432,16,2.4,5.1,65,,TRUE,Alder Lake-S,Socket 1700,10 nm,30 MB,"DDR4, DDR5","Z690, H670, B660, H610","Jan 4th, 2022",529.99,35726,4045,549.63,Desktop,339.36,1
Intel Core i7-5820K,,6,3.3,3.6,140,,TRUE,Haswell-E,Socket 2011-3,22 nm,15 MB,DDR4,,"Sep 1st, 2014",255.36,9814,2010,70.1,Desktop,93.84,10
Intel Core i5-10500,219.99,6,3.1,4.5,65,Intel UHD Graphics 630,TRUE,Comet Lake,Socket 1200,14 nm,12 MB,DDR4,,"Apr 30th, 2020",209.88,13056,2785,200.86,Desktop,112.78,1
Intel Core i7-6900K,164.9,8,3.2,3.7,140,,TRUE,Broadwell-E,Socket 2011-3,14 nm,20 MB,DDR4,,"May 31st, 2016",384.95,14291,2361,102.08,Desktop,142.5,13
Intel Core i5-4670K,144.25,4,3.4,3.4,84,Intel HD Graphics 4600,FALSE,Haswell,Socket 1150,22 nm,6 MB,DDR3,,"Jun 2nd, 2013",154.88,5547,2154,66.04,Desktop,54.09,1
Intel Core i9-10900X,508,10,3.7,4.7,165,,TRUE,Cascade Lake-X,Socket 2066,14 nm,19.25 MB,DDR4,,"Oct 19th, 2019",560,22683,2696,137.47,Desktop,187.88,5
Intel Core i5-2500K,234,4,3.3,3.3,95,Intel HD Graphics 3000,FALSE,Sandy Bridge,Socket 1155,32 nm,6 MB,DDR3,"Z77, Z75, Q77, H77, Q75, B75, Z68, P67, H67, Q67, B65, H61","Jan 9th, 2011",59,4097,1699,43.13,Desktop,31.14,4
Intel Core i9-12900,458.99,16,2.4,5.1,65,Intel UHD Graphics 770,TRUE,Alder Lake-S,Socket 1700,10 nm,30 MB,"DDR4, DDR5","Z690, H670, B660, H610","Jan 4th, 2022",509,38281,4162,588.95,Desktop,228.14,4
Intel Core i5-6600,,4,3.3,3.9,65,Intel HD Graphics 530,FALSE,Skylake,Socket 1151,14 nm,6 MB,DDR4,"Intel 100 Series, Intel 200 Series","Jul 1st, 2015",119,6107,2284,93.96,Desktop,56.53,4
Intel Core i5-7600,130,4,3.5,4.1,65,Intel HD Graphics 630,FALSE,Kaby Lake,Socket 1151,14 nm,6 MB,DDR4,,"Jan 3rd, 2017",169.99,6598,2476,101.5,Desktop,53.83,1
Intel Core i3-7100,103,2,3.9,3.9,51,Intel HD Graphics 630,TRUE,Kaby Lake,Socket 1151,14 nm,3 MB,DDR4,,"Jan 3rd, 2017",127.99,4342,2338,85.13,Desktop,23.76,1
Intel Pentium G3260,,2,3.3,3.3,53,Intel HD Graphics,FALSE,Haswell,Socket 1150,22 nm,3 MB,DDR3,"H81, B85, H87, Z87, H97, Z97","Jun 2nd, 2014",59.97,2049,1867,38.65,Desktop,12.24,2
Intel Core i3-9100,140,4,3.6,4.2,65,Intel UHD Graphics 630,FALSE,Coffee Lake,Socket 1151,14 nm,6 MB,DDR4,,"Sep 1st, 2018",169.96,6625,2519,101.93,Desktop,53.99,1
Intel Core i5-3570,,4,3.4,3.4,77,Intel HD Graphics 2500,FALSE,Ivy Bridge,Socket 1155,22 nm,6 MB,DDR3,"Intel 6 Series, Intel 7 Series","Jun 1st, 2012",166,4910,2049,63.77,Desktop,28.24,10
Intel Core i7-2700K,95,4,3.5,3.5,95,Intel HD Graphics 3000,TRUE,Sandy Bridge,Socket 1155,32 nm,8 MB,DDR3,"Z77, Z75, Q77, H77, Q75, B75, Z68, P67, H67, Q67, B65, H61","Oct 24th, 2011",180,5604,1786,58.99,Desktop,35.97,2
Intel Core i7-6800K,195,6,3.4,3.6,140,,TRUE,Broadwell-E,Socket 2011-3,14 nm,15 MB,DDR4,,"May 31st, 2016",259.99,10681,2272,76.29,Desktop,108.31,2
Intel Core i7-2600K,199.88,4,3.4,3.4,95,Intel HD Graphics 3000,TRUE,Sandy Bridge,Socket 1155,32 nm,8 MB,DDR3,"Z77, Z75, Q77, H77, Q75, B75, Z68, P67, H67, Q67, B65, H61","Jan 9th, 2011",79.99,5500,1745,57.89,Desktop,38.92,6
Intel Core i9-7900X,413,10,3.3,4.5,140,,TRUE,Skylake-X,Socket 2066,14 nm,14 MB,DDR4,,"Jun 26th, 2017",269.98,21310,2594,152.21,Desktop,209.19,17
Intel Core i9-10900,319.99,10,2.8,5.2,65,Intel UHD Graphics 630,TRUE,Comet Lake,Socket 1200,14 nm,20 MB,DDR4,,"Apr 30th, 2020",389.97,20446,3057,314.55,Desktop,162.69,5
Intel Core i7-8086K,476.58,6,4,5,95,Intel UHD Graphics 630,TRUE,Coffee Lake,Socket 1151,14 nm,12 MB,DDR4,,"Jun 5th, 2018",549,14550,2895,153.16,Desktop,122.84,6
Intel Core i5-4440,123.85,4,3.1,3.3,84,Intel HD Graphics 4600,FALSE,Haswell,Socket 1150,22 nm,6 MB,DDR3,,"Sep 1st, 2013",79,4718,1860,56.16,Desktop,39.22,6
Intel Core i9-11900,363.99,8,2.5,5.2,65,Intel UHD Graphics 750,TRUE,Rocket Lake,Socket 1200,14 nm,16 MB,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",347.88,23117,3443,355.65,Desktop,189.83,3
Intel Core i9-7960X,2399.94,16,2.8,4.4,165,,TRUE,Skylake-X,Socket 2066,14 nm,22 MB,DDR4,,"Sep 1st, 2017",990.97,26699,2525,161.81,Desktop,324.22,1
Intel Core i5-11500,227.99,6,2.7,4.6,65,Intel UHD Graphics 750,TRUE,Rocket Lake,Socket 1200,14 nm,12 MB,,,"Mar 16th, 2021",197.19,17626,3153,271.17,Desktop,148.51,3
Intel Core i5-9500,210,6,3,4.4,65,Intel UHD Graphics 630,FALSE,Coffee Lake,Socket 1151,14 nm,9 MB,,,"Oct 19th, 2018",297.59,9698,2578,149.2,Desktop,77.22,2
Intel Core i5-10600,207.86,6,3.3,4.8,65,Intel UHD Graphics 630,TRUE,Comet Lake,Socket 1200,14 nm,12 MB,,,"Apr 30th, 2020",219.99,13928,2911,214.27,Desktop,105.54,1
Intel Core i5-8600,239.86,6,3.1,4.3,65,Intel UHD Graphics 630,FALSE,Coffee Lake,Socket 1151,14 nm,9 MB,,,"Feb 14th, 2018",275.67,9849,2582,151.52,Desktop,92.16,5
Intel Core i9-9900,595,8,3.1,5,65,Intel UHD Graphics 630,TRUE,Coffee Lake-R,Socket 1151,14 nm,16 MB,,,"Apr 23rd, 2019",458.99,16873,2863,259.58,Desktop,131.85,3
Intel Core i5-2500,,4,3.3,3.3,95,Intel HD Graphics 2000,FALSE,Sandy Bridge,Socket 1155,32 nm,6 MB,,,"Jan 9th, 2011",58.87,4101,1708,43.17,Desktop,25.96,1
Intel Core i9-10920X,679.99,12,3.5,4.8,165,,TRUE,Cascade Lake-X,Socket 2066,14 nm,19.25 MB,,,"Oct 19th, 2019",679.99,26696,2766,161.79,Desktop,210.44,4
Intel Core i3-4130,77.14,2,3.4,3.4,54,Intel HD Graphics 4400,TRUE,Haswell,Socket 1150,22 nm,3 MB,DDR3,,"Sep 1st, 2013",72.29,3291,1890,60.94,Desktop,28.24,2
Intel Pentium Gold G5400,64.95,2,3.7,3.7,58,Intel UHD Graphics 610,TRUE,Coffee Lake,Socket 1151,14 nm,4 MB,DDR4,,"Apr 2nd, 2018",112.88,3723,2224,68.94,Desktop,27.23,1
Intel Core i3-4170,,2,3.7,3.7,54,Intel HD Graphics 4400,TRUE,Haswell,Socket 1150,22 nm,3 MB,DDR3,"Intel 8 Series, Intel 9 Series","May 1st, 2014",95.8,3569,2069,66.1,Desktop,23.63,1
Intel Core i7-6950X,328.29,10,3,3.5,140,,TRUE,Broadwell-E,Socket 2011-3,14 nm,25 MB,DDR4,,"May 31st, 2016",377.32,17142,2334,122.44,Desktop,205.72,2
Intel Core i3-3220,,2,3.3,3.3,55,Intel HD Graphics 2500,TRUE,Ivy Bridge,Socket 1155,22 nm,3 MB,DDR3,,"Sep 3rd, 2012",39.94,2203,1725,40.05,Desktop,13.52,1
Intel Core i7-4930K,175,6,3.4,3.9,130,,TRUE,Ivy Bridge-E,Socket 2011,22 nm,12 MB,DDR3,,"Sep 1st, 2013",174.85,9360,1963,72,Desktop,58.41,3
Intel Core i7-7800X,405.86,6,3.5,4,140,,TRUE,Skylake-X,Socket 2066,14 nm,8.25 MB,DDR4,,"Jun 26th, 2017",199.99,12864,2414,91.89,Desktop,108.23,2
Intel Core i5-4670,135.86,4,3.4,3.4,84,Intel HD Graphics 4600,FALSE,Haswell,Socket 1150,22 nm,6 MB,DDR3,,"Jun 2nd, 2013",100,5440,2142,64.77,Desktop,39.18,1
Intel Core i7-5960X,,8,3,3.5,140,,TRUE,Haswell-E,Socket 2011-3,22 nm,20 MB,DDR4,,"Sep 1st, 2014",215.61,12719,1979,90.85,Desktop,145.36,5
Intel Core i3-2120,128.12,2,3.3,3.3,65,Intel HD Graphics 2000,TRUE,Sandy Bridge,Socket 1155,32 nm,3 MB,DDR3,"Z77, Z75, Q77, H77, Q75, B75, Z68, P67, H67, Q67, B65, H61","Feb 20th, 2011",27.44,1926,1517,29.62,Desktop,11.63,2
Intel Core i7-7820X,329.88,8,3.6,4.5,140,,TRUE,Skylake-X,Socket 2066,14 nm,11 MB,,,"Jun 26th, 2017",709,17283,2539,123.45,Desktop,160.69,3
Intel Core i7-7700T,489.95,4,2.9,3.8,35,Intel HD Graphics 630,TRUE,Kaby Lake,Socket 1151,14 nm,8 MB,DDR4,,"Jan 3rd, 2017",390,7561,2156,216.04,Desktop,80.63,5
Intel Core i5-11600,240,6,2.8,4.8,65,Intel UHD Graphics 750,TRUE,Rocket Lake,Socket 1200,14 nm,12 MB,,,"Mar 16th, 2021",216.41,18318,3302,281.81,Desktop,178.84,1
Intel Core i7-920,99,4,2.66,2.66,130,,TRUE,Bloomfield,Socket 1366,45 nm,8 MB,,,"Nov 17th, 2008",189.88,2741,1220,21.09,Desktop,43.98,3
Intel Core i9-7980XE,1193,18,2.6,4.4,165,,TRUE,Skylake-X,Socket 2066,14 nm,24.75 MB,DDR4,,"Sep 1st, 2017",816.42,29842,2474,180.86,Desktop,305.4,5
Intel Core i7-5930K,,6,3.5,3.7,140,,TRUE,Haswell-E,Socket 2011-3,22 nm,15 MB,DDR4,,"Sep 1st, 2014",319.95,10304,2063,73.6,Desktop,95.7,2
Intel Core i7-3930K,298.98,6,3.2,3.2,130,,TRUE,Sandy Bridge-E,Socket 2011,32 nm,12 MB,DDR3,,"Nov 14th, 2011",250,8244,1762,63.42,Desktop,64.79,8
Intel Core i9-10940X,850,14,3.3,4.8,165,,TRUE,Cascade Lake-X,Socket 2066,14 nm,19.25 MB,DDR4,,"Oct 19th, 2019",771.99,28619,2724,173.45,Desktop,259.05,4
Intel Core i7-3820,,4,3.6,3.6,130,,TRUE,Sandy Bridge-E,Socket 2011,32 nm,10 MB,DDR3,,"Feb 13th, 2012",117.97,5754,1736,44.26,Desktop,32.7,4
Intel Xeon E5-2630,36.65,6,2.3,2.3,95,,TRUE,Sandy Bridge-EP,Socket 2011,32 nm,15 MB,DDR3,,"Mar 6th, 2012",49,6131,1270,64.54,Server,56.76,1
Intel Core i7-860,270,4,2.8,2.8,95,,TRUE,Lynnfield,Socket 1156,45 nm,8 MB,DDR3,,"Sep 8th, 2009",43.99,2890,1319,30.42,Desktop,27.05,2
Intel Core i7-4820K,168,4,3.7,3.9,130,,TRUE,Ivy Bridge-E,Socket 2011,22 nm,10 MB,DDR3,,"Sep 1st, 2013",149.73,6501,1945,50.01,Desktop,39.42,3
Intel Core i5-2400S,99.07,4,2.5,2.5,65,Intel HD Graphics 2000,FALSE,Sandy Bridge,Socket 1155,32 nm,6 MB,DDR3,,"Jan 9th, 2011",144.19,3160,1480,48.62,Desktop,25.15,1
Intel Core i9-7920X,538.5,12,2.9,4.4,140,,TRUE,Skylake-X,Socket 2066,14 nm,16.5 MB,DDR4,,"Sep 10th, 2017",375,23292,2467,166.37,Desktop,272.86,4
Intel Core i7-4790S,,4,3.2,4,65,Intel HD Graphics 4000,TRUE,Haswell,Socket 1150,22 nm,8 MB,DDR3,"Z87, H87, Z97, H97","May 11th, 2014",163,6954,2198,106.98,Desktop,57.42,3
Intel Core i9-9980XE,1998.95,18,3,4.4,165,,TRUE,Skylake-X,Socket 2066,14 nm,24.75 MB,DDR4,,"Oct 19th, 2018",1442.21,31905,2566,193.37,Desktop,302.2,1
Intel Core i7-4960X,1000,6,3.6,4,130,,TRUE,Ivy Bridge-E,Socket 2011,22 nm,15 MB,DDR3,,"Sep 3rd, 2013",1250,9906,2078,76.2,Desktop,54.5,1
Intel Pentium G2020,94.79,2,2.9,2.9,55,Intel HD Graphics,FALSE,Ivy Bridge,Socket 1155,22 nm,3 MB,DDR3,,"Jan 21st, 2013",50,1684,1566,30.61,Desktop,11.26,1
Intel Core i7-9800X,449.2,8,3.8,4.5,165,,TRUE,Skylake-X,Socket 2066,14 nm,16.5 MB,DDR4,,"Oct 19th, 2018",650,18240,2595,110.54,Desktop,140.19,3
Intel Core i5-8500T,,6,2.1,3.5,35,Intel UHD Graphics 630,FALSE,Coffee Lake,Socket 1151,14 nm,9 MB,DDR4,,"Apr 2nd, 2018",247.53,7699,2045,219.98,Desktop,58.86,3
Intel Core i7-870,,4,2.93,2.93,95,,TRUE,Lynnfield,Socket 1156,45 nm,8 MB,DDR3,,"Sep 8th, 2009",199.88,3074,1392,32.36,Desktop,51.82,17
Intel Core i3-3240,116.69,2,3.4,3.4,55,Intel HD Graphics 2500,TRUE,Ivy Bridge,Socket 1155,22 nm,3 MB,DDR3,,"Sep 3rd, 2012",42.17,2287,1805,41.57,Desktop,11.01,4
Intel Core i5-2320,255.39,4,3,3,95,Intel HD Graphics 2000,FALSE,Sandy Bridge,Socket 1155,32 nm,6 MB,DDR3,,"Sep 4th, 2011",303.5,3632,1512,38.23,Desktop,22.16,2
Intel Core i5-4590S,,4,3,3.7,65,Intel HD Graphics 4000,FALSE,Haswell,Socket 1150,22 nm,6 MB,DDR3,,"May 1st, 2014",260,5095,2052,78.39,Desktop,45.67,3
Intel Core i5-750,102,4,2.66,2.66,95,,FALSE,Lynnfield,Socket 1156,45 nm,8 MB,DDR3,,"Sep 8th, 2009",200,2495,1242,26.27,Desktop,20.61,1
Intel Core i7-4771,,4,3.5,3.9,84,Intel HD Graphics 4600,TRUE,Haswell,Socket 1150,22 nm,8 MB,DDR3,"Z87, H87, Z97, H97","Sep 1st, 2013",196.86,7074,2190,84.21,Desktop,51.07,1
Intel Core i5-6500T,,4,2.5,3.1,35,Intel HD Graphics 530,FALSE,Skylake,Socket 1151,14 nm,6 MB,"DDR3, DDR4","Intel 100 Series, Intel 200 Series","Jul 2nd, 2015",221.52,4845,1831,138.42,Desktop,45.52,1
Intel Core i5-3470S,,4,2.9,2.9,65,Intel HD Graphics 2500,FALSE,Ivy Bridge,Socket 1155,22 nm,6 MB,DDR3,,"Jun 1st, 2012",69,4353,1900,66.97,Desktop,25.69,1
Intel Core i3-10320,159.18,4,3.8,4.6,65,Intel UHD Graphics 630,TRUE,Comet Lake,Socket 1200,14 nm,8 MB,DDR4,,"Apr 30th, 2020",133.95,10115,2848,155.61,Desktop,75.73,1
Intel Core i5-4570S,163.93,4,2.9,2.9,65,Intel HD Graphics 4600,FALSE,Haswell,Socket 1150,22 nm,6 MB,DDR3,,"Jun 2nd, 2013",169.59,4914,1981,75.59,Desktop,42.11,2
Intel Core i5-4440S,123.85,4,2.8,3.3,65,Intel HD Graphics 4600,FALSE,Haswell,Socket 1150,22 nm,6 MB,,,"Sep 1st, 2013",188,4277,1790,65.79,Desktop,37.57,1
Intel Core i5-8400T,,6,1.7,3.3,35,Intel UHD Graphics 630,FALSE,Coffee Lake,Socket 1151,14 nm,9 MB,,,"Apr 2nd, 2018",239.84,7447,1924,212.77,Desktop,80.67,1
Intel Core i5-4570T,128.8,2,2.9,2.9,35,Intel HD Graphics 4600,TRUE,Haswell,Socket 1150,22 nm,4 MB,,,"Jun 2nd, 2013",464.64,3136,1874,89.59,Desktop,29.61,1
Intel Core i7-3960X,782.9,6,3.3,3.3,130,,TRUE,Sandy Bridge-E,Socket 2011,32 nm,15 MB,DDR3,,"Nov 14th, 2011",159.99,8596,1816,66.12,Desktop,73.66,3
Intel Core i7-6700T,,4,2.8,3.6,35,Intel HD Graphics 530,TRUE,Skylake,Socket 1151,14 nm,8 MB,DDR4,,"Sep 1st, 2015",299,7271,2091,207.74,Desktop,57.29,1
Intel Core i3-7320,80.01,2,4.1,4.1,51,Intel HD Graphics 630,TRUE,Kaby Lake,Socket 1151,14 nm,4 MB,DDR4,,"Jan 3rd, 2017",177.19,4856,2499,95.21,Desktop,39.05,1
Intel Core i7-970,,6,3.2,3.2,130,,TRUE,Gulftown,Socket 1366,32 nm,12 MB,DDR3,,"Jul 19th, 2010",520,6499,1455,49.99,Desktop,42.61,1
Intel Core i3-8100T,,4,3.1,3.1,35,Intel UHD Graphics 630,FALSE,Coffee Lake,Socket 1151,14 nm,6 MB,,,"Apr 2nd, 2018",262.83,5291,1922,151.18,Desktop,39.91,2
Intel Core i5-4590T,,4,2,2,35,Intel HD Graphics 4000,TRUE,Haswell,Socket 1150,22 nm,6 MB,,,"May 11th, 2014",209.95,3982,1648,113.78,Desktop,36.11,1
Intel Core i9-9900X,,10,3.5,4.4,165,,TRUE,Skylake-X,Socket 2066,14 nm,19.25 MB,DDR4,,"Oct 19th, 2018",654.99,21868,2604,132.54,Desktop,180.21,3
Intel Core i5-7600T,147.91,4,2.8,3.7,35,Intel HD Graphics 630,FALSE,Kaby Lake,Socket 1151,14 nm,6 MB,DDR4,,"Jan 3rd, 2017",298,6073,2231,173.5,Desktop,42.09,2
Intel Core i3-4330,96.95,2,3.5,3.5,54,Intel HD Graphics 4600,TRUE,Haswell,Socket 1150,22 nm,4 MB,DDR3,,"Sep 1st, 2013",123.37,3539,1982,65.55,Desktop,36.41,1
Intel Core i5-3570S,,4,3.1,3.8,65,Intel HD Graphics 2500,FALSE,Ivy Bridge,Socket 1155,22 nm,6 MB,DDR3,,"Jun 1st, 2012",66.9,4620,1996,71.08,Desktop,34.16,1
Intel Core i3-6100T,289.95,2,3.2,3.2,35,Intel HD Graphics 530,TRUE,Skylake,Socket 1151,14 nm,3 MB,"DDR3, DDR4",,"Sep 1st, 2015",999,3617,1891,103.35,Desktop,21.51,1
Intel Xeon E5-2690,,8,2.9,3.8,135,,TRUE,Sandy Bridge-EP,Socket 2011,32 nm,20 MB,DDR3,,"Mar 6th, 2012",135.4,9832,1657,72.83,Server,65.44,1
Intel Xeon E-2286G,1427.23,6,4,4.9,95,Intel HD Graphics P630,TRUE,Coffee Lake-S WS,Socket 1151,14 nm,12 MB,DDR4,"C242, C246","May 29th, 2019",551.26,14384,2846,151.41,Server,129.58,1
Intel Xeon E3-1220 V2,,4,3.1,3.1,69,,FALSE,Ivy Bridge,Socket 1155,22 nm,8 MB,DDR3,,"May 14th, 2012",93,4691,1898,67.98,Server,28.54,1
Intel Xeon E5-1650,,6,3.2,3.8,130,,TRUE,Sandy Bridge-E,Socket 2011,32 nm,12 MB,,,"Mar 6th, 2012",112,8113,1745,62.41,Server,54.02,3
Intel Xeon E5-2620,58,6,2,2,95,,TRUE,Sandy Bridge-EP,Socket 2011,32 nm,15 MB,,,"Mar 6th, 2012",75.65,5280,1112,55.58,Server,35.42,1
Intel Core i5-9400T,,6,1.8,3.4,35,Intel UHD Graphics 630,FALSE,Coffee Lake,Socket 1151,14 nm,9 MB,DDR4,,"Sep 1st, 2018",182,7819,2057,223.39,Desktop,61.59,2
Intel Pentium G860,,2,3,3,65,Intel HD Graphics,FALSE,Sandy Bridge,Socket 1155,32 nm,3 MB,DDR3,,"Sep 4th, 2011",22.93,1437,1389,22.11,Desktop,10.26,1
Intel Xeon E-2244G,,4,3.8,4.8,71,Intel HD Graphics P630,TRUE,Coffee Lake-S WS,Socket 1151,14 nm,8 MB,DDR4,"C242, C246","May 29th, 2019",413,9826,2807,138.39,Server,73.79,1
