name,price,core_count,core_clock,boost_clock,tdp,graphics,smt,codename,socket,lithography,cache,supported_mem,supported_chipset,release_date,pmprice,cpuMark,threadMark,powerPerf,category,CPU ScoreSingle 15,CPU ScoreMulti 15
Intel Core i7-12700K,241.99,12,3.6,5.0,125,Intel UHD Graphics 770,True,Alder Lake-S,Socket 1700,10 nm,25 MB,"DDR4, DDR5","Z690, H670, B660, H610","Nov 4th, 2021",409.0,34125,4047,179.61,Desktop,286,3327
AMD Ryzen 5 3600,104.99,6,3.6,4.2,65,,True,Matisse,Socket AM4,7 nm,32 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Jul 7th, 2019",153.49,17822,2576,274.18,Desktop,197,1578
Intel Core i5-12600K,189.99,10,3.7,4.9,125,Intel UHD Graphics 770,True,Alder Lake-S,Socket 1700,10 nm,20 MB,"DDR4, DDR5","Z690. H670, B660, H610","Nov 4th, 2021",277.98,27429,3965,182.86,Desktop,274,2596
Intel Core i9-12900K,344.99,16,3.2,5.2,125,Intel UHD Graphics 770,True,Alder Lake-S,Socket 1700,10 nm,30 MB,"DDR4, DDR5","Z690, H670, B660, H610","Nov 4th, 2021",599.95,41077,4209,170.44,Desktop,294,4111
Intel Core i5-10400F,114.64,6,2.9,4.3,65,,True,Comet Lake,Socket 1200,14 nm,12 MB,DDR4,,"Apr 30th, 2020",124.99,12439,2572,191.37,Desktop,190,1341
Intel Core i7-12700KF,219.99,12,3.6,5.0,125,,True,Alder Lake-S,Socket 1700,10 nm,25 MB,"DDR4, DDR5","Z690, H670, B660, H610","Nov 4th, 2021",350.99,34110,4054,179.53,Desktop,286,3327
Intel Core i5-12600KF,219.0,10,3.7,4.9,125,,True,Alder Lake-S,Socket 1700,10 nm,20 MB,"DDR4, DDR5","Z690. H670, B660, H610","Nov 4th, 2021",260.98,27186,3967,181.24,Desktop,274,2596
Intel Core i7-9700K,339.0,8,3.6,4.9,95,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14 nm,12 MB,DDR4,,"Oct 19th, 2018",390.99,14550,2899,153.16,Desktop,214,1520
AMD Ryzen 5 2600,165.0,6,3.4,3.9,65,,True,Zen,Socket AM4,12 nm,16 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Apr 19th, 2018",124.88,13195,2250,202.99,Desktop,164,1310
AMD Ryzen 3 3200G,72.75,4,3.6,4.0,65,Radeon Vega 8,False,Picasso,Socket AM4,12 nm,4 MB,DDR4,,"Jul 7th, 2019",,7037,2216,108.26,Desktop,154,605
AMD Ryzen 5 3600X,210.0,6,3.8,4.4,95,,True,Matisse,Socket AM4,7 nm,32 MB,DDR4,"A300, X300, A320, B350, X370, B450, X470, A520, B550, X570","Jul 7th, 2019",209.99,18285,2670,192.47,Desktop,204,1647
Intel Core i7-10700K,283.95,8,3.8,5.1,125,Intel UHD Graphics 630,True,Comet Lake,Socket 1200,14 nm,16 MB,DDR4,"H410, B460, H470, Z490","Apr 30th, 2020",328.98,19277,3074,154.22,Desktop,228,2344
Intel Core i9-9900K,565.0,8,3.6,5.0,95,Intel UHD Graphics 630,True,Coffee Lake-R,Socket 1151,14 nm,16 MB,DDR4,,"Oct 19th, 2018",622.0,18716,2960,197.02,Desktop,219,2245
AMD Ryzen 7 2700X,220.0,8,3.7,4.3,105,,True,Zen,Socket AM4,12 nm,16 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Apr 19th, 2018",,17221,2395,164.01,Desktop,177,1817
AMD Ryzen 9 3900X,365.0,12,3.8,4.6,105,,True,Matisse,Socket AM4,7 nm,64 MB,DDR4,"A300, X300, A320, B350, X370, B450, X470, A520, B550, X570","Jul 7th, 2019",359.0,32751,2725,311.92,Desktop,214,3168
Intel Core i7-8700K,279.0,6,3.7,4.7,95,Intel UHD Graphics 630,True,Coffee Lake,Socket 1151,14 nm,12 MB,DDR4,,"Oct 5th, 2017",309.0,13850,2764,145.79,Desktop,208,1447
Intel Core i5-9400F,135.0,6,2.9,4.1,65,,False,Coffee Lake,Socket 1151,14 nm,9 MB,DDR4,,"Jan 8th, 2019",129.99,9544,2471,146.84,"Desktop, Laptop",177,987
Intel Core i7-7700K,310.0,4,4.2,4.5,91,Intel HD Graphics 630,True,Kaby Lake,Socket 1151,14 nm,8 MB,DDR4,,"Jan 3rd, 2017",349.44,9658,2730,101.66,Desktop,200,995
AMD Ryzen 7 3800X,275.99,8,3.9,4.5,105,,True,Matisse,Socket AM4,7 nm,32 MB,DDR4,"A300, X300, A320, B350, X370, B450, X470, A520, B550, X570","Jul 7th, 2019",248.59,23275,2735,221.67,Desktop,209,2165
Intel Core i9-11900K,299.0,8,3.5,5.3,125,Intel UHD Graphics 750,True,Rocket Lake,Socket 1200,14 nm,16 MB,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",397.97,25539,3519,204.31,Desktop,262,2515
Intel Core i5-10400,131.13,6,2.9,4.3,65,Intel UHD Graphics 630,True,Comet Lake,Socket 1200,14 nm,12 MB,DDR4,,"Apr 30th, 2020",149.99,12320,2587,189.53,Desktop,190,1341
Intel Core i9-10900K,341.94,10,3.7,5.3,125,Intel UHD Graphics 630,True,Comet Lake,Socket 1200,14 nm,20 MB,DDR4,"H410, B460, H470, Z490","Apr 30th, 2020",389.97,23768,3167,190.14,Desktop,234,2677
Intel Core i7-10700F,218.13,8,2.9,4.8,65,,True,Comet Lake,Socket 1200,14 nm,16 MB,DDR4,,"Apr 30th, 2020",249.99,16973,2919,261.12,Desktop,214,2291
Intel Core i7-6700K,220.0,4,4.0,4.2,91,Intel HD Graphics 530,True,Skylake,Socket 1151,14 nm,8 MB,DDR4,,"Aug 1st, 2015",230.0,8967,2520,94.39,Desktop,180,888
Intel Core i5-9600K,219.99,6,3.7,4.6,95,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14 nm,9 MB,DDR4,,"Oct 19th, 2018",232.6,10793,2773,113.61,Desktop,204,1165
AMD Ryzen 5 3400G,121.99,4,3.7,4.2,65,Radeon Vega 11,True,Picasso,Socket AM4,12 nm,4 MB,DDR4,"AMD 300 series, AMD 400 Series, AMD 500 Series","Jul 7th, 2019",,9307,2330,143.18,Desktop,169,875
Intel Core i5-10600K,175.48,6,4.1,4.8,125,Intel UHD Graphics 630,True,Comet Lake,Socket 1200,14 nm,12 MB,DDR4,,"Apr 30th, 2020",212.97,14534,2936,116.27,Desktop,215,1615
AMD Ryzen 5 2600X,215.0,6,3.6,4.2,95,,True,Zen,Socket AM4,12 nm,16 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Apr 19th, 2018",154.39,14053,2406,147.92,Desktop,176,1380
AMD Ryzen 3 3100,85.99,4,3.6,3.9,65,,True,Matisse,Socket AM4,7 nm,16 MB,DDR4,,"Apr 24th, 2020",137.95,11660,2427,179.38,Desktop,179,1019
AMD Ryzen 9 3950X,575.0,16,3.5,4.7,105,,True,Matisse,Socket AM4,7 nm,64 MB,DDR4,"A300, X300, A320, B350, X370, B450, X470, A520, B550, X570","Nov 25th, 2019",650.0,39157,2738,372.92,Desktop,217,3897
Intel Core i7-4790K,,4,4.0,4.4,88,Intel HD Graphics 4600,True,Haswell,Socket 1150,22 nm,8 MB,DDR3,"Z87, H87, Z97, H97","May 1st, 2014",206.87,8061,2467,91.6,Desktop,145,728
Intel Core i7-8700,313.0,6,3.2,4.6,65,Intel UHD Graphics 630,True,Coffee Lake,Socket 1151,14 nm,12 MB,DDR4,,"Jan 1st, 2018",260.99,13046,2662,200.71,Desktop,203,1434
Intel Core i5-8400,185.0,6,2.8,4.0,65,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14 nm,9 MB,DDR4,,"Oct 5th, 2017",230.0,9222,2404,141.88,Desktop,161,954
Intel Core i9-12900KF,398.99,16,3.2,5.2,125,,True,Alder Lake-S,Socket 1700,10 nm,30 MB,"DDR4, DDR5","Z690, H670, B660, H610","Nov 4th, 2021",572.98,41163,4217,170.8,Desktop,294,4111
Intel Core i7-12700,318.99,12,2.1,4.9,65,Intel UHD Graphics 770,True,Alder Lake-S,Socket 1700,10 nm,25 MB,"DDR4, DDR5","Intel 600 Series, Intel 700 Series",Jan-22,328.0,31659,3948,487.07,Desktop,259,3140
Intel Core i5-6600K,188.0,4,3.5,3.9,91,Intel HD Graphics 530,False,Skylake,Socket 1151,14 nm,6 MB,DDR4,,"Jul 2nd, 2015",135.0,6307,2332,69.31,Desktop,166,600
Intel Core i9-12900KS,389.99,16,3.4,5.5,150,Intel UHD Graphics 770,True,Alder Lake-S,Socket 1700,10 nm,30 MB,"DDR4, DDR5",,"Apr 5th, 2022",779.98,44243,4317,294.95,Desktop,294,4140
AMD Ryzen 5 1600,250.0,6,3.2,3.6,65,,True,Zen,Socket AM4,14 nm,16 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Apr 11th, 2017",,10401,1685,160.01,Desktop,147,1094
AMD Ryzen 7 2700,185.0,8,3.2,4.1,65,,True,Zen,Socket AM4,12 nm,16 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Apr 19th, 2018",,15059,2145,231.67,Desktop,164,1529
Intel Core i5-6500,140.0,4,3.2,3.6,65,Intel HD Graphics 530,False,Skylake,Socket 1151,14 nm,6 MB,DDR4,"Z170, B150, H110","Jul 2nd, 2015",129.0,5655,2123,87.0,Desktop,153,565
Intel Core i7-7700,245.0,4,3.6,4.2,65,Intel HD Graphics 630,True,Kaby Lake,Socket 1151,14 nm,8 MB,DDR4,,"Jan 3rd, 2017",219.99,8638,2472,132.9,Desktop,186,901
Intel Core i3-9100F,110.0,4,3.6,4.2,65,,False,Coffee Lake,Socket 1151,14 nm,6 MB,DDR4,,"Apr 23rd, 2019",124.0,6768,2519,104.12,Desktop,180,660
Intel Core i3-10100,104.94,4,3.6,4.3,65,Intel UHD Graphics 630,True,Comet Lake,Socket 1200,14 nm,6 MB,DDR4,,"Apr 30th, 2020",112.99,8800,2637,135.39,Desktop,191,1001
Intel Core i5-4690K,90.0,4,3.5,3.9,88,Intel HD Graphics 4600,False,Haswell,Socket 1150,22 nm,6 MB,DDR3,"Intel 80 Series, Intel 90 Series","Jun 2nd, 2014",69.99,5623,2197,63.9,Desktop,152,534
Intel Core i7-6700,233.0,4,3.4,4.0,65,Intel HD Graphics 530,True,Skylake,Socket 1151,14 nm,8 MB,DDR4,,"Jul 1st, 2015",255.0,8078,2300,124.27,Desktop,171,816
Intel Core i7-10700,239.75,8,2.9,4.8,65,Intel UHD Graphics 630,True,Comet Lake,Socket 1200,14 nm,16 MB,DDR4,,"Apr 30th, 2020",268.99,16946,2922,260.71,Desktop,214,2291
Intel Core i7-3770,143.0,4,3.4,3.4,77,Intel HD Graphics 4000,True,Ivy Bridge,Socket 1155,22 nm,8 MB,DDR3,"Intel 6 Series, Intel 7 Series","Apr 29th, 2012",139.98,6397,2076,83.08,Desktop,134,669
Intel Core i5-8600K,245.0,6,3.6,4.3,95,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14 nm,9 MB,DDR4,,"Oct 5th, 2017",235.99,10195,2609,107.32,Desktop,183,1040
AMD Ryzen 3 2200G,150.0,4,3.5,3.7,65,Radeon Vega 8,False,Raven Ridge,Socket AM4,14 nm,4 MB,DDR4,"AMD 300 Series, AMD 400 Series","Feb 12th, 2018",,6703,2058,103.13,Desktop,142,576
Intel Core i7-4770,125.0,4,3.4,3.9,84,Intel HD Graphics 4600,True,Haswell,Socket 1150,22 nm,8 MB,DDR3,"Z87, H87, Z97, H97","Jun 2nd, 2013",178.69,7030,2166,83.69,Desktop,141,690
Intel Core i5-7500,132.3,4,3.4,3.8,65,Intel HD Graphics 630,False,Kaby Lake,Socket 1151,14 nm,6 MB,DDR4,,"Jan 3rd, 2017",165.99,6064,2284,93.3,Desktop,162,617
Intel Core i7-9700,340.0,8,3.0,4.7,65,Intel HD Graphics 630,False,Coffee Lake,Socket 1151,14 nm,12 MB,DDR4,,"Apr 23rd, 2019",322.85,13385,2782,205.93,Desktop,209,1491
Intel Core i5-7600K,218.0,4,3.8,4.2,91,Intel HD Graphics 630,False,Kaby Lake,Socket 1151,14 nm,6 MB,DDR4,,"Jan 3rd, 2017",165.99,6869,2566,75.49,Desktop,179,717
Intel Core i9-9900KF,395.0,8,3.6,5.0,95,,True,Coffee Lake-R,Socket 1151,14 nm,16 MB,DDR4,,"Jan 8th, 2019",502.13,18691,2968,196.75,Desktop,219,2245
AMD Ryzen 5 2400G,135.0,4,3.6,3.9,65,Radeon Vega 11,True,Raven Ridge,Socket AM4,14 nm,4 MB,DDR4,"AMD 300 Series, AMD 400 Series","Feb 12th, 2018",,8378,2132,128.89,Desktop,155,811
AMD Ryzen 7 1700,215.0,8,3.0,3.7,65,,True,Zen,Socket AM4,14 nm,16 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Mar 2nd, 2017",,14590,2026,224.45,Desktop,151,1403
Intel Core i5-10600KF,164.99,6,4.1,4.8,125,,True,Comet Lake,Socket 1200,14 nm,12 MB,DDR4,,"Apr 30th, 2020",184.98,14575,2948,116.6,Desktop,215,1615
Intel Core i7-10700KF,268.66,8,3.8,5.1,125,,True,Comet Lake,Socket 1200,14 nm,16 MB,DDR4,,"Apr 30th, 2020",309.99,19143,3056,153.14,Desktop,228,2344
AMD Ryzen 9 3900XT,390.0,12,3.8,4.7,105,,True,Matisse 2,Socket AM4,7 nm,64 MB,DDR4,,"Jul 7th, 2020",618.77,32869,2786,313.04,Desktop,226,3297
Intel Core i5-3470,200.0,4,3.2,3.2,77,Intel HD Graphics 2500,False,Ivy Bridge,Socket 1155,22 nm,6 MB,DDR3,,"Jun 1st, 2012",105.57,4657,1943,60.48,Desktop,0,439
Intel Core i5-7400,153.0,4,3.0,3.5,65,Intel HD Graphics 630,False,Kaby Lake,Socket 1151,14 nm,6 MB,DDR4,,"Jan 3rd, 2017",175.0,5499,2103,84.6,Desktop,149,564
Intel Core i7-9700F,349.0,8,3.0,4.7,65,,False,Coffee Lake,Socket 1151,14 nm,12 MB,DDR4,,"Apr 23rd, 2019",340.99,13462,2796,207.11,Desktop,209,1491
Intel Core i5-4460,89.54,4,3.2,3.4,84,Intel HD Graphics 4600,False,Haswell,Socket 1150,22 nm,6 MB,DDR3,"Intel 80 Series, Intel 90 Series","May 11th, 2014",79.46,4834,1902,57.55,Desktop,132,477
AMD Ryzen 3 3300X,195.0,4,3.8,4.3,65,,True,Matisse,Socket AM4,7 nm,16 MB,DDR4,,"Apr 24th, 2020",269.99,12746,2689,196.1,Desktop,200,1129
Intel Core i9-10900KF,318.95,10,3.7,5.3,125,,True,Comet Lake,Socket 1200,14 nm,20 MB,DDR4,,"Apr 30th, 2020",339.99,23508,3141,188.06,Desktop,234,2677
Intel Core i7-9700KF,297.0,8,3.6,4.9,95,,False,Coffee Lake,Socket 1151,14 nm,12 MB,DDR4,,"Jan 8th, 2019",424.99,14499,2920,152.62,Desktop,214,1520
Intel Core i7-3770K,275.0,4,3.5,3.5,77,Intel HD Graphics 4000,True,Ivy Bridge,Socket 1155,22 nm,8 MB,DDR3,,"Apr 29th, 2012",136.48,6462,2082,83.93,Desktop,137,672
AMD Ryzen 5 1600X,140.0,6,3.6,4.0,95,,True,Zen,Socket AM4,14 nm,16 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Apr 11th, 2017",169.46,12943,2183,136.25,Desktop,151,1126
Intel Core i5-4590,,4,3.3,3.7,84,Intel HD Graphics 4600,False,Haswell,Socket 1150,22 nm,6 MB,DDR3,,"May 1st, 2014",58.0,5344,2093,63.62,Desktop,144,505
Intel Core i7-4770K,192.0,4,3.5,3.9,84,Intel HD Graphics 4600,True,Haswell,Socket 1150,22 nm,8 MB,DDR3,"Z87, H87, Z97, H97","Jun 2nd, 2013",329.99,7129,2165,84.87,Desktop,141,709
