name,price,core_count,core_clock,boost_clock,tdp,graphics,smt,codename,socket,lithography,cache,supported_mem,supported_chipset,release_date,pmprice,cpuMark,threadMark,powerPerf,category,CPU ScoreSingle 15,CPU ScoreMulti 15
Intel Core i3-8100,163.0,4,3.6,3.6,65,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14 nm,6 MB,DDR4,,"Oct 5th, 2017",169.99,6163,2240,94.82,Desktop,154,616
AMD Ryzen 5 3600XT,389.0,6,3.8,4.5,95,,True,Matisse 2,Socket AM4,7 nm,32 MB,DDR4,,"Jul 7th, 2019",327.52,18780,2794,197.69,Desktop,217,1757
AMD Ryzen 7 1700X,251.0,8,3.4,3.8,95,,True,Zen,Socket AM4,14 nm,16 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Mar 2nd, 2017",168.06,15496,2074,163.12,Desktop,155,1532
AMD Ryzen 5 3500X,,6,3.6,4.1,65,,False,Matisse,Socket AM4,7 nm,32 MB,DDR4,"A300, X300, A320, B350, X370, B450, X470, A520, B550, X570","Sep 24th, 2019",184.95,13319,2525,204.91,Desktop,188,1129
Intel Core i9-10980XE,923.0,18,3.0,4.8,165,,True,Cascade Lake-X,Socket 2066,14 nm,24.75 MB,DDR4,,"Oct 19th, 2019",999.99,33408,2667,202.47,Desktop,211,3800
Intel Core i9-11900KF,,8,3.5,5.3,125,,True,Rocket Lake,Socket 1200,14 nm,16 MB,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",379.98,25390,3563,203.12,Desktop,262,2515
Intel Core i5-9400,210.0,6,2.9,4.1,65,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14 nm,9 MB,DDR4,,"Oct 19th, 2018",139.99,9478,2479,145.82,Desktop,177,987
Intel Core i5-6400,,4,2.7,3.3,65,Intel HD Graphics 530,False,Skylake,Socket 1151,14 nm,6 MB,DDR4,"Intel 100 Series, Intel 200 Series","Jul 2nd, 2015",129.99,5163,1964,79.43,Desktop,140,497
AMD Ryzen 5 1400,110.0,4,3.2,3.4,65,,True,Zen,Socket AM4,14 nm,8 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Apr 11th, 2017",109.65,7783,1904,119.74,Desktop,139,731
Intel Core i5-4570,121.16,4,3.2,3.2,84,Intel HD Graphics 4600,False,Haswell,Socket 1150,22 nm,6 MB,DDR3,,"Jun 2nd, 2013",99.99,5199,2036,61.9,Desktop,140,491
Intel Core i5-3570K,125.0,4,3.4,3.4,77,Intel HD Graphics 4000,False,Ivy Bridge,Socket 1155,22 nm,6 MB,DDR3,,"Apr 29th, 2012",65.64,4936,2049,64.11,Desktop,132,510
Intel Core i5-9600KF,230.0,6,3.7,4.6,95,,False,Coffee Lake,Socket 1151,14 nm,9 MB,DDR4,,"Jan 8th, 2019",159.0,10838,2786,114.08,Desktop,204,1165
Intel Core i5-2400,170.99,4,3.1,3.1,95,Intel HD Graphics 2000,False,Sandy Bridge,Socket 1155,32 nm,6 MB,DDR3,,"Jan 9th, 2011",88.57,3840,1580,40.42,Desktop,116,409
Intel Core i9-9900KS,1989.0,8,4.0,5.0,127,Intel UHD Graphics 630,True,Coffee Lake-R,Socket 1151,14 nm,16 MB,DDR4,,"Oct 28th, 2019",898.3,19518,3039,153.69,Desktop,222,2201
AMD Ryzen 5 3500,,6,3.6,4.1,65,,False,Picasso,Socket FP5,12 nm,4 MB,DDR4,,"Jan 6th, 2019",,12836,2515,197.47,Desktop,188,1129
Intel Core i5-8500,258.27,6,3.0,4.1,65,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14 nm,9 MB,DDR4,,"Feb 14th, 2018",190.0,9576,2485,147.32,Desktop,174,934
AMD Ryzen 5 1500X,225.0,4,3.5,3.7,65,,True,Zen,Socket AM4,14 nm,16 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Apr 11th, 2017",120.36,9083,2110,139.75,Desktop,151,712
AMD Ryzen 7 1800X,295.0,8,3.6,4.0,95,,True,Zen,Socket AM4,14 nm,16 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Mar 2nd, 2017",178.03,16306,2186,171.64,Desktop,163,1617
Intel Core i3-6100,100.0,2,3.7,3.7,51,Intel HD Graphics 530,True,Skylake,Socket 1151,14 nm,4 MB,DDR4,,"Sep 1st, 2015",131.51,4177,2220,81.9,Desktop,152,392
AMD Ryzen 3 1200,115.0,4,3.1,3.4,65,,False,Zen,Socket AM4,14 nm,8 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Jul 27th, 2017",103.55,6304,1927,96.98,Desktop,154,604
Intel Core i5-4690,100.12,4,3.5,3.9,84,Intel HD Graphics 4600,False,Haswell,Socket 1150,22 nm,6 MB,DDR3,,"May 1st, 2014",118.88,5572,2205,66.33,Desktop,152,534
Intel Core i9-12900F,432.0,16,2.4,5.1,65,,True,Alder Lake-S,Socket 1700,10 nm,30 MB,"DDR4, DDR5","Z690, H670, B660, H610","Jan 4th, 2022",529.99,35726,4045,549.63,Desktop,287,3911
Intel Core i7-5820K,,6,3.3,3.6,140,,True,Haswell-E,Socket 2011-3,22 nm,15 MB,DDR4,,"Sep 1st, 2014",255.36,9814,2010,70.1,Desktop,139,1085
Intel Core i5-10500,219.99,6,3.1,4.5,65,Intel UHD Graphics 630,True,Comet Lake,Socket 1200,14 nm,12 MB,DDR4,,"Apr 30th, 2020",209.88,13056,2785,200.86,Desktop,201,1491
Intel Core i5-4670K,144.25,4,3.4,3.4,84,Intel HD Graphics 4600,False,Haswell,Socket 1150,22 nm,6 MB,DDR3,,"Jun 2nd, 2013",154.88,5547,2154,66.04,Desktop,148,520
Intel Core i9-10900X,508.0,10,3.7,4.7,165,,True,Cascade Lake-X,Socket 2066,14 nm,19.25 MB,DDR4,,"Oct 19th, 2019",560.0,22683,2696,137.47,Desktop,198,2358
Intel Core i9-12900,458.99,16,2.4,5.1,65,Intel UHD Graphics 770,True,Alder Lake-S,Socket 1700,10 nm,30 MB,"DDR4, DDR5","Z690, H670, B660, H610","Jan 4th, 2022",509.0,38281,4162,588.95,Desktop,287,3911
Intel Core i5-6600,,4,3.3,3.9,65,Intel HD Graphics 530,False,Skylake,Socket 1151,14 nm,6 MB,DDR4,"Intel 100 Series, Intel 200 Series","Jul 1st, 2015",119.0,6107,2284,93.96,Desktop,166,597
Intel Core i5-7600,130.0,4,3.5,4.1,65,Intel HD Graphics 630,False,Kaby Lake,Socket 1151,14 nm,6 MB,DDR4,,"Jan 3rd, 2017",169.99,6598,2476,101.5,Desktop,175,666
Intel Core i3-7100,103.0,2,3.9,3.9,51,Intel HD Graphics 630,True,Kaby Lake,Socket 1151,14 nm,3 MB,DDR4,,"Jan 3rd, 2017",127.99,4342,2338,85.13,Desktop,168,425
Intel Core i3-9100,140.0,4,3.6,4.2,65,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14 nm,6 MB,DDR4,,"Sep 1st, 2018",169.96,6625,2519,101.93,Desktop,180,660
Intel Core i5-3570,,4,3.4,3.4,77,Intel HD Graphics 2500,False,Ivy Bridge,Socket 1155,22 nm,6 MB,DDR3,"Intel 6 Series, Intel 7 Series","Jun 1st, 2012",166.0,4910,2049,63.77,Desktop,132,510
Intel Core i7-2600K,199.88,4,3.4,3.4,95,Intel HD Graphics 3000,True,Sandy Bridge,Socket 1155,32 nm,8 MB,DDR3,"Z77, Z75, Q77, H77, Q75, B75, Z68, P67, H67, Q67, B65, H61","Jan 9th, 2011",79.99,5500,1745,57.89,Desktop,128,612
Intel Core i9-7900X,413.0,10,3.3,4.5,140,,True,Skylake-X,Socket 2066,14 nm,14 MB,DDR4,,"Jun 26th, 2017",269.98,21310,2594,152.21,Desktop,188,2194
Intel Core i9-10900,319.99,10,2.8,5.2,65,Intel UHD Graphics 630,True,Comet Lake,Socket 1200,14 nm,20 MB,DDR4,,"Apr 30th, 2020",389.97,20446,3057,314.55,Desktop,231,2541
Intel Core i7-8086K,476.58,6,4.0,5.0,95,Intel UHD Graphics 630,True,Coffee Lake,Socket 1151,14 nm,12 MB,DDR4,,"Jun 5th, 2018",549.0,14550,2895,153.16,Desktop,219,1448
Intel Core i5-4440,123.85,4,3.1,3.3,84,Intel HD Graphics 4600,False,Haswell,Socket 1150,22 nm,6 MB,DDR3,,"Sep 1st, 2013",79.0,4718,1860,56.16,Desktop,128,462
Intel Core i9-7960X,2399.94,16,2.8,4.4,165,,True,Skylake-X,Socket 2066,14 nm,22 MB,DDR4,,"Sep 1st, 2017",990.97,26699,2525,161.81,Desktop,184,3161
Intel Core i5-9500,210.0,6,3.0,4.4,65,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14 nm,9 MB,,,"Oct 19th, 2018",297.59,9698,2578,149.2,Desktop,182,1016
Intel Core i5-10600,207.86,6,3.3,4.8,65,Intel UHD Graphics 630,True,Comet Lake,Socket 1200,14 nm,12 MB,,,"Apr 30th, 2020",219.99,13928,2911,214.27,Desktop,214,1569
Intel Core i5-8600,239.86,6,3.1,4.3,65,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14 nm,9 MB,,,"Feb 14th, 2018",275.67,9849,2582,151.52,Desktop,178,959
Intel Core i9-9900,595.0,8,3.1,5.0,65,Intel UHD Graphics 630,True,Coffee Lake-R,Socket 1151,14 nm,16 MB,,,"Apr 23rd, 2019",458.99,16873,2863,259.58,Desktop,219,1931
Intel Core i3-4130,77.14,2,3.4,3.4,54,Intel HD Graphics 4400,True,Haswell,Socket 1150,22 nm,3 MB,DDR3,,"Sep 1st, 2013",72.29,3291,1890,60.94,Desktop,136,349
Intel Pentium Gold G5400,64.95,2,3.7,3.7,58,Intel UHD Graphics 610,True,Coffee Lake,Socket 1151,14 nm,4 MB,DDR4,,"Apr 2nd, 2018",112.88,3723,2224,68.94,Desktop,153,385
Intel Core i7-6950X,328.29,10,3.0,3.5,140,,True,Broadwell-E,Socket 2011-3,14 nm,25 MB,DDR4,,"May 31st, 2016",377.32,17142,2334,122.44,Desktop,152,1819
Intel Core i3-3220,,2,3.3,3.3,55,Intel HD Graphics 2500,True,Ivy Bridge,Socket 1155,22 nm,3 MB,DDR3,,"Sep 3rd, 2012",39.94,2203,1725,40.05,Desktop,115,295
Intel Core i7-4930K,175.0,6,3.4,3.9,130,,True,Ivy Bridge-E,Socket 2011,22 nm,12 MB,DDR3,,"Sep 1st, 2013",174.85,9360,1963,72.0,Desktop,139,1064
Intel Core i7-7800X,405.86,6,3.5,4.0,140,,True,Skylake-X,Socket 2066,14 nm,8.25 MB,DDR4,,"Jun 26th, 2017",199.99,12864,2414,91.89,Desktop,184,1285
Intel Core i5-4670,135.86,4,3.4,3.4,84,Intel HD Graphics 4600,False,Haswell,Socket 1150,22 nm,6 MB,DDR3,,"Jun 2nd, 2013",100.0,5440,2142,64.77,Desktop,148,520
Intel Core i7-5960X,,8,3.0,3.5,140,,True,Haswell-E,Socket 2011-3,22 nm,20 MB,DDR4,,"Sep 1st, 2014",215.61,12719,1979,90.85,Desktop,177,1360
Intel Core i7-7820X,329.88,8,3.6,4.5,140,,True,Skylake-X,Socket 2066,14 nm,11 MB,,,"Jun 26th, 2017",709.0,17283,2539,123.45,Desktop,197,1887
Intel Core i7-7700T,489.95,4,2.9,3.8,35,Intel HD Graphics 630,True,Kaby Lake,Socket 1151,14 nm,8 MB,DDR4,,"Jan 3rd, 2017",390.0,7561,2156,216.04,Desktop,168,805
Intel Core i7-5930K,,6,3.5,3.7,140,,True,Haswell-E,Socket 2011-3,22 nm,15 MB,DDR4,,"Sep 1st, 2014",319.95,10304,2063,73.6,Desktop,142,1149
Intel Core i9-10940X,850.0,14,3.3,4.8,165,,True,Cascade Lake-X,Socket 2066,14 nm,19.25 MB,DDR4,,"Oct 19th, 2019",771.99,28619,2724,173.45,Desktop,201,3117
Intel Core i7-4820K,168.0,4,3.7,3.9,130,,True,Ivy Bridge-E,Socket 2011,22 nm,10 MB,DDR3,,"Sep 1st, 2013",149.73,6501,1945,50.01,Desktop,141,728
Intel Core i9-7920X,538.5,12,2.9,4.4,140,,True,Skylake-X,Socket 2066,14 nm,16.5 MB,DDR4,,"Sep 10th, 2017",375.0,23292,2467,166.37,Desktop,188,2438
Intel Core i7-4790S,,4,3.2,4.0,65,Intel HD Graphics 4000,True,Haswell,Socket 1150,22 nm,8 MB,DDR3,"Z87, H87, Z97, H97","May 11th, 2014",163.0,6954,2198,106.98,Desktop,145,671
Intel Core i9-9980XE,1998.95,18,3.0,4.4,165,,True,Skylake-X,Socket 2066,14 nm,24.75 MB,DDR4,,"Oct 19th, 2018",1442.21,31905,2566,193.37,Desktop,201,3240
Intel Pentium G2020,94.79,2,2.9,2.9,55,Intel HD Graphics,False,Ivy Bridge,Socket 1155,22 nm,3 MB,DDR3,,"Jan 21st, 2013",50.0,1684,1566,30.61,Desktop,101,196
Intel Core i7-9800X,449.2,8,3.8,4.5,165,,True,Skylake-X,Socket 2066,14 nm,16.5 MB,DDR4,,"Oct 19th, 2018",650.0,18240,2595,110.54,Desktop,196,1850
Intel Core i5-8500T,,6,2.1,3.5,35,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14 nm,9 MB,DDR4,,"Apr 2nd, 2018",247.53,7699,2045,219.98,Desktop,148,751
Intel Core i3-3240,116.69,2,3.4,3.4,55,Intel HD Graphics 2500,True,Ivy Bridge,Socket 1155,22 nm,3 MB,DDR3,,"Sep 3rd, 2012",42.17,2287,1805,41.57,Desktop,119,306
Intel Core i5-4590S,,4,3.0,3.7,65,Intel HD Graphics 4000,False,Haswell,Socket 1150,22 nm,6 MB,DDR3,,"May 1st, 2014",260.0,5095,2052,78.39,Desktop,144,477
Intel Core i5-6500T,,4,2.5,3.1,35,Intel HD Graphics 530,False,Skylake,Socket 1151,14 nm,6 MB,"DDR3, DDR4","Intel 100 Series, Intel 200 Series","Jul 2nd, 2015",221.52,4845,1831,138.42,Desktop,132,464
Intel Core i3-10320,159.18,4,3.8,4.6,65,Intel UHD Graphics 630,True,Comet Lake,Socket 1200,14 nm,8 MB,DDR4,,"Apr 30th, 2020",133.95,10115,2848,155.61,Desktop,206,1080
Intel Core i5-4570S,163.93,4,2.9,2.9,65,Intel HD Graphics 4600,False,Haswell,Socket 1150,22 nm,6 MB,DDR3,,"Jun 2nd, 2013",169.59,4914,1981,75.59,Desktop,140,462
Intel Core i5-8400T,,6,1.7,3.3,35,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14 nm,9 MB,,,"Apr 2nd, 2018",239.84,7447,1924,212.77,Desktop,139,696
Intel Core i7-6700T,,4,2.8,3.6,35,Intel HD Graphics 530,True,Skylake,Socket 1151,14 nm,8 MB,DDR4,,"Sep 1st, 2015",299.0,7271,2091,207.74,Desktop,154,663
Intel Core i3-7320,80.01,2,4.1,4.1,51,Intel HD Graphics 630,True,Kaby Lake,Socket 1151,14 nm,4 MB,DDR4,,"Jan 3rd, 2017",177.19,4856,2499,95.21,Desktop,176,447
Intel Core i3-8100T,,4,3.1,3.1,35,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14 nm,6 MB,,,"Apr 2nd, 2018",262.83,5291,1922,151.18,Desktop,132,530
Intel Core i5-4590T,,4,2.0,2.0,35,Intel HD Graphics 4000,True,Haswell,Socket 1150,22 nm,6 MB,,,"May 11th, 2014",209.95,3982,1648,113.78,Desktop,117,361
Intel Core i9-9900X,,10,3.5,4.4,165,,True,Skylake-X,Socket 2066,14 nm,19.25 MB,DDR4,,"Oct 19th, 2018",654.99,21868,2604,132.54,Desktop,197,2114
Intel Core i5-7600T,147.91,4,2.8,3.7,35,Intel HD Graphics 630,False,Kaby Lake,Socket 1151,14 nm,6 MB,DDR4,,"Jan 3rd, 2017",298.0,6073,2231,173.5,Desktop,157,593
Intel Core i3-4330,96.95,2,3.5,3.5,54,Intel HD Graphics 4600,True,Haswell,Socket 1150,22 nm,4 MB,DDR3,,"Sep 1st, 2013",123.37,3539,1982,65.55,Desktop,137,351
Intel Core i3-6100T,289.95,2,3.2,3.2,35,Intel HD Graphics 530,True,Skylake,Socket 1151,14 nm,3 MB,"DDR3, DDR4",,"Sep 1st, 2015",999.0,3617,1891,103.35,Desktop,131,339
Intel Core i5-9400T,,6,1.8,3.4,35,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14 nm,9 MB,DDR4,,"Sep 1st, 2018",182.0,7819,2057,223.39,Desktop,150,710
