name,price,core_count,core_clock,boost_clock,tdp,graphics,smt,codename,socket,lithography,cache,supported_mem,supported_chipset,release_date,CPU ScoreSingle 15,CPU ScoreMulti 15
Intel Core i7-13700K,381.99,16,3.4,5.4,125,Intel UHD Graphics 770,True,Raptor Lake-S,Socket 1700,10 nm,30 MB,"DDR4, DDR5","H610, B660, H670, Q670, Z690, W680, B760, H770, Z790","Sep 27th, 2022",310,4639
Intel Core i9-13900K,568.99,24,3.0,5.8,125,Intel UHD Graphics 770,True,Raptor Lake-S,Socket 1700,10 nm,36 MB,"DDR4, DDR5","H610, B660, H670, Q670, Z690, W680, B760, H770, Z790","Sep 27th, 2022",330,6141
Intel Core i5-13600K,308.95,14,3.5,5.1,125,Intel UHD Graphics 770,True,Raptor Lake-S,Socket 1700,10 nm,24 MB,"DDR4, DDR5","Z690, Z790","Sep 27th, 2022",290,3652
Intel Core i7-12700K,241.99,12,3.6,5.0,125,Intel UHD Graphics 770,True,Alder Lake-S,Socket 1700,10 nm,25 MB,"DDR4, DDR5","Z690, H670, B660, H610","Nov 4th, 2021",286,3327
AMD Ryzen 5 3600,104.99,6,3.6,4.2,65,,True,Matisse,Socket AM4,7 nm,32 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Jul 7th, 2019",197,1578
Intel Core i5-12600K,189.99,10,3.7,4.9,125,Intel UHD Graphics 770,True,Alder Lake-S,Socket 1700,10 nm,20 MB,"DDR4, DDR5","Z690. H670, B660, H610","Nov 4th, 2021",274,2596
Intel Core i5-13400F,208.98,10,2.5,4.6,65,,True,Raptor Lake-S,Socket 1700,10 nm,20 MB,"DDR4, DDR5","Intel 600 Series, Intel 700 Series","Jan 4th, 2023",253,2336
Intel Core i5-13600KF,289.99,14,3.5,5.1,125,,True,Raptor Lake-S,Socket 1700,10 nm,24 MB,"DDR4, DDR5","H610, B660, H670, Q670, Z690, W680, B760, H770, Z790","Sep 27th, 2022",290,3652
Intel Core i9-12900K,344.99,16,3.2,5.2,125,Intel UHD Graphics 770,True,Alder Lake-S,Socket 1700,10 nm,30 MB,"DDR4, DDR5","Z690, H670, B660, H610","Nov 4th, 2021",294,4111
Intel Core i7-13700KF,382.84,16,3.4,5.4,125,,True,Raptor Lake-S,Socket 1700,10 nm,30 MB,"DDR4, DDR5","H610, B660, H670, Q670, Z690, W680, B760, H770, Z790","Sep 27th, 2022",310,4639
Intel Core i5-13500,247.98,14,2.5,4.8,65,Intel UHD Graphics 770,True,Raptor Lake-S,Socket 1700,10 nm,24 MB,"DDR4, DDR5","Intel 600 Series, Intel 700 Series","Jan 4th, 2023",270,3149
Intel Core i5-10400F,114.64,6,2.9,4.3,65,,True,Comet Lake,Socket 1200,14 nm,12 MB,DDR4,,"Apr 30th, 2020",190,1341
Intel Core i9-13900KS,,24,3.0,6.0,150,Intel UHD Graphics 770,True,Raptor Lake-S,Socket 1700,10 nm,36 MB,"DDR4, DDR5","B660, Z690, B760, H770, Z790","Jan 12th, 2023",338,6220
Intel Core i7-12700KF,219.99,12,3.6,5.0,125,,True,Alder Lake-S,Socket 1700,10 nm,25 MB,"DDR4, DDR5","Z690, H670, B660, H610","Nov 4th, 2021",286,3327
Intel Core i9-13900KF,535.99,24,3.0,5.8,125,,True,Raptor Lake-S,Socket 1700,10 nm,36 MB,"DDR4, DDR5","Z690, Z790","Sep 27th, 2022",331,6141
Intel Core i5-13400,228.0,10,2.5,4.6,65,Intel UHD Graphics 730,True,Raptor Lake-S,Socket 1700,10 nm,20 MB,"DDR4, DDR5","Intel 600 Series, Intel 700 Series","Jan 4th, 2023",253,2336
Intel Core i5-12600KF,219.0,10,3.7,4.9,125,,True,Alder Lake-S,Socket 1700,10 nm,20 MB,"DDR4, DDR5","Z690. H670, B660, H610","Nov 4th, 2021",274,2596
Intel Core i7-9700K,339.0,8,3.6,4.9,95,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14 nm,12 MB,DDR4,,"Oct 19th, 2018",214,1520
AMD Ryzen 5 2600,165.0,6,3.4,3.9,65,,True,Zen,Socket AM4,12 nm,16 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Apr 19th, 2018",164,1310
AMD Ryzen 3 3200G,72.75,4,3.6,4.0,65,Radeon Vega 8,False,Picasso,Socket AM4,12 nm,4 MB,DDR4,,"Jul 7th, 2019",154,605
AMD Ryzen 5 3600X,210.0,6,3.8,4.4,95,,True,Matisse,Socket AM4,7 nm,32 MB,DDR4,"A300, X300, A320, B350, X370, B450, X470, A520, B550, X570","Jul 7th, 2019",204,1647
Intel Core i7-10700K,283.95,8,3.8,5.1,125,Intel UHD Graphics 630,True,Comet Lake,Socket 1200,14 nm,16 MB,DDR4,"H410, B460, H470, Z490","Apr 30th, 2020",228,2344
Intel Core i9-9900K,565.0,8,3.6,5.0,95,Intel UHD Graphics 630,True,Coffee Lake-R,Socket 1151,14 nm,16 MB,DDR4,,"Oct 19th, 2018",219,2245
AMD Ryzen 7 2700X,220.0,8,3.7,4.3,105,,True,Zen,Socket AM4,12 nm,16 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Apr 19th, 2018",177,1817
AMD Ryzen 9 3900X,365.0,12,3.8,4.6,105,,True,Matisse,Socket AM4,7 nm,64 MB,DDR4,"A300, X300, A320, B350, X370, B450, X470, A520, B550, X570","Jul 7th, 2019",214,3168
Intel Core i7-8700K,279.0,6,3.7,4.7,95,Intel UHD Graphics 630,True,Coffee Lake,Socket 1151,14 nm,12 MB,DDR4,,"Oct 5th, 2017",208,1447
Intel Core i5-9400F,135.0,6,2.9,4.1,65,,False,Coffee Lake,Socket 1151,14 nm,9 MB,DDR4,,"Jan 8th, 2019",177,987
Intel Core i7-7700K,310.0,4,4.2,4.5,91,Intel HD Graphics 630,True,Kaby Lake,Socket 1151,14 nm,8 MB,DDR4,,"Jan 3rd, 2017",200,995
AMD Ryzen 7 3800X,275.99,8,3.9,4.5,105,,True,Matisse,Socket AM4,7 nm,32 MB,DDR4,"A300, X300, A320, B350, X370, B450, X470, A520, B550, X570","Jul 7th, 2019",209,2165
Intel Core i9-11900K,299.0,8,3.5,5.3,125,Intel UHD Graphics 750,True,Rocket Lake,Socket 1200,14 nm,16 MB,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",262,2515
Intel Core i5-10400,131.13,6,2.9,4.3,65,Intel UHD Graphics 630,True,Comet Lake,Socket 1200,14 nm,12 MB,DDR4,,"Apr 30th, 2020",190,1341
Intel Core i9-10900K,341.94,10,3.7,5.3,125,Intel UHD Graphics 630,True,Comet Lake,Socket 1200,14 nm,20 MB,DDR4,"H410, B460, H470, Z490","Apr 30th, 2020",234,2677
Intel Core i7-10700F,218.13,8,2.9,4.8,65,,True,Comet Lake,Socket 1200,14 nm,16 MB,DDR4,,"Apr 30th, 2020",214,2291
Intel Core i7-6700K,220.0,4,4.0,4.2,91,Intel HD Graphics 530,True,Skylake,Socket 1151,14 nm,8 MB,DDR4,,"Aug 1st, 2015",180,888
Intel Core i5-9600K,219.99,6,3.7,4.6,95,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14 nm,9 MB,DDR4,,"Oct 19th, 2018",204,1165
AMD Ryzen 5 3400G,121.99,4,3.7,4.2,65,Radeon Vega 11,True,Picasso,Socket AM4,12 nm,4 MB,DDR4,"AMD 300 series, AMD 400 Series, AMD 500 Series","Jul 7th, 2019",169,875
Intel Core i5-10600K,175.48,6,4.1,4.8,125,Intel UHD Graphics 630,True,Comet Lake,Socket 1200,14 nm,12 MB,DDR4,,"Apr 30th, 2020",215,1615
AMD Ryzen 5 2600X,215.0,6,3.6,4.2,95,,True,Zen,Socket AM4,12 nm,16 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Apr 19th, 2018",176,1380
AMD Ryzen 3 3100,85.99,4,3.6,3.9,65,,True,Matisse,Socket AM4,7 nm,16 MB,DDR4,,"Apr 24th, 2020",179,1019
AMD Ryzen 9 3950X,575.0,16,3.5,4.7,105,,True,Matisse,Socket AM4,7 nm,64 MB,DDR4,"A300, X300, A320, B350, X370, B450, X470, A520, B550, X570","Nov 25th, 2019",217,3897
Intel Core i7-4790K,,4,4.0,4.4,88,Intel HD Graphics 4600,True,Haswell,Socket 1150,22 nm,8 MB,DDR3,"Z87, H87, Z97, H97","May 1st, 2014",145,728
Intel Core i7-8700,313.0,6,3.2,4.6,65,Intel UHD Graphics 630,True,Coffee Lake,Socket 1151,14 nm,12 MB,DDR4,,"Jan 1st, 2018",203,1434
Intel Core i5-8400,185.0,6,2.8,4.0,65,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14 nm,9 MB,DDR4,,"Oct 5th, 2017",161,954
Intel Core i9-12900KF,398.99,16,3.2,5.2,125,,True,Alder Lake-S,Socket 1700,10 nm,30 MB,"DDR4, DDR5","Z690, H670, B660, H610","Nov 4th, 2021",294,4111
Intel Core i7-12700,318.99,12,2.1,4.9,65,Intel UHD Graphics 770,True,Alder Lake-S,Socket 1700,10 nm,25 MB,"DDR4, DDR5","Intel 600 Series, Intel 700 Series",Jan-22,259,3140
Intel Core i5-6600K,188.0,4,3.5,3.9,91,Intel HD Graphics 530,False,Skylake,Socket 1151,14 nm,6 MB,DDR4,,"Jul 2nd, 2015",166,600
Intel Core i9-12900KS,389.99,16,3.4,5.5,150,Intel UHD Graphics 770,True,Alder Lake-S,Socket 1700,10 nm,30 MB,"DDR4, DDR5",,"Apr 5th, 2022",294,4140
AMD Ryzen 5 1600,250.0,6,3.2,3.6,65,,True,Zen,Socket AM4,14 nm,16 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Apr 11th, 2017",147,1094
AMD Ryzen 7 2700,185.0,8,3.2,4.1,65,,True,Zen,Socket AM4,12 nm,16 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Apr 19th, 2018",164,1529
Intel Core i5-6500,140.0,4,3.2,3.6,65,Intel HD Graphics 530,False,Skylake,Socket 1151,14 nm,6 MB,DDR4,"Z170, B150, H110","Jul 2nd, 2015",153,565
Intel Core i7-7700,245.0,4,3.6,4.2,65,Intel HD Graphics 630,True,Kaby Lake,Socket 1151,14 nm,8 MB,DDR4,,"Jan 3rd, 2017",186,901
Intel Core i3-9100F,110.0,4,3.6,4.2,65,,False,Coffee Lake,Socket 1151,14 nm,6 MB,DDR4,,"Apr 23rd, 2019",180,660
Intel Core i3-10100,104.94,4,3.6,4.3,65,Intel UHD Graphics 630,True,Comet Lake,Socket 1200,14 nm,6 MB,DDR4,,"Apr 30th, 2020",191,1001
Intel Core i5-4690K,90.0,4,3.5,3.9,88,Intel HD Graphics 4600,False,Haswell,Socket 1150,22 nm,6 MB,DDR3,"Intel 80 Series, Intel 90 Series","Jun 2nd, 2014",152,534
Intel Core i7-6700,233.0,4,3.4,4.0,65,Intel HD Graphics 530,True,Skylake,Socket 1151,14 nm,8 MB,DDR4,,"Jul 1st, 2015",171,816
Intel Core i7-10700,239.75,8,2.9,4.8,65,Intel UHD Graphics 630,True,Comet Lake,Socket 1200,14 nm,16 MB,DDR4,,"Apr 30th, 2020",214,2291
Intel Core i7-3770,143.0,4,3.4,3.4,77,Intel HD Graphics 4000,True,Ivy Bridge,Socket 1155,22 nm,8 MB,DDR3,"Intel 6 Series, Intel 7 Series","Apr 29th, 2012",134,669
Intel Core i5-8600K,245.0,6,3.6,4.3,95,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14 nm,9 MB,DDR4,,"Oct 5th, 2017",183,1040
AMD Ryzen 3 2200G,150.0,4,3.5,3.7,65,Radeon Vega 8,False,Raven Ridge,Socket AM4,14 nm,4 MB,DDR4,"AMD 300 Series, AMD 400 Series","Feb 12th, 2018",142,576
Intel Core i7-4770,125.0,4,3.4,3.9,84,Intel HD Graphics 4600,True,Haswell,Socket 1150,22 nm,8 MB,DDR3,"Z87, H87, Z97, H97","Jun 2nd, 2013",141,690
Intel Core i5-7500,132.3,4,3.4,3.8,65,Intel HD Graphics 630,False,Kaby Lake,Socket 1151,14 nm,6 MB,DDR4,,"Jan 3rd, 2017",162,617
Intel Core i7-9700,340.0,8,3.0,4.7,65,Intel HD Graphics 630,False,Coffee Lake,Socket 1151,14 nm,12 MB,DDR4,,"Apr 23rd, 2019",209,1491
Intel Core i5-7600K,218.0,4,3.8,4.2,91,Intel HD Graphics 630,False,Kaby Lake,Socket 1151,14 nm,6 MB,DDR4,,"Jan 3rd, 2017",179,717
Intel Core i9-9900KF,395.0,8,3.6,5.0,95,,True,Coffee Lake-R,Socket 1151,14 nm,16 MB,DDR4,,"Jan 8th, 2019",219,2245
AMD Ryzen 5 2400G,135.0,4,3.6,3.9,65,Radeon Vega 11,True,Raven Ridge,Socket AM4,14 nm,4 MB,DDR4,"AMD 300 Series, AMD 400 Series","Feb 12th, 2018",155,811
AMD Ryzen 7 1700,215.0,8,3.0,3.7,65,,True,Zen,Socket AM4,14 nm,16 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Mar 2nd, 2017",151,1403
Intel Core i5-10600KF,164.99,6,4.1,4.8,125,,True,Comet Lake,Socket 1200,14 nm,12 MB,DDR4,,"Apr 30th, 2020",215,1615
Intel Core i7-10700KF,268.66,8,3.8,5.1,125,,True,Comet Lake,Socket 1200,14 nm,16 MB,DDR4,,"Apr 30th, 2020",228,2344
AMD Ryzen 9 3900XT,390.0,12,3.8,4.7,105,,True,Matisse 2,Socket AM4,7 nm,64 MB,DDR4,,"Jul 7th, 2020",226,3297
Intel Core i5-3470,200.0,4,3.2,3.2,77,Intel HD Graphics 2500,False,Ivy Bridge,Socket 1155,22 nm,6 MB,DDR3,,"Jun 1st, 2012",0,439
Intel Core i5-7400,153.0,4,3.0,3.5,65,Intel HD Graphics 630,False,Kaby Lake,Socket 1151,14 nm,6 MB,DDR4,,"Jan 3rd, 2017",149,564
Intel Core i7-9700F,349.0,8,3.0,4.7,65,,False,Coffee Lake,Socket 1151,14 nm,12 MB,DDR4,,"Apr 23rd, 2019",209,1491
Intel Core i5-4460,89.54,4,3.2,3.4,84,Intel HD Graphics 4600,False,Haswell,Socket 1150,22 nm,6 MB,DDR3,"Intel 80 Series, Intel 90 Series","May 11th, 2014",132,477
AMD Ryzen 3 3300X,195.0,4,3.8,4.3,65,,True,Matisse,Socket AM4,7 nm,16 MB,DDR4,,"Apr 24th, 2020",200,1129
