name,price,core_count,core_clock,boost_clock,tdp,graphics,smt,codename,socket,lithography,cache,supported_mem,supported_chipset,release_date,pmprice,cpuMark,threadMark,powerPerf,category
Intel Core i7-4790,319.66,4,3.6,4.0,84,Intel HD Graphics 4600,True,Haswell,Socket 1150,22 nm,8 MB,DDR3,"Z87, H87, Z97, H97","May 1st, 2014",200.0,7235,2234,86.13,Desktop
Intel Core i5-11600KF,206.98,6,3.9,4.9,125,,True,Rocket Lake,Socket 1200,14 nm,12 MB,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",232.49,19742,3359,157.93,Desktop
Intel Core i7-4770K,192.0,4,3.5,3.9,84,Intel HD Graphics 4600,True,Haswell,Socket 1150,22 nm,8 MB,DDR3,"Z87, H87, Z97, H97","Jun 2nd, 2013",329.99,7129,2165,84.87,Desktop
Intel Core i3-8100,163.0,4,3.6,3.6,65,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14 nm,6 MB,DDR4,,"Oct 5th, 2017",169.99,6163,2240,94.82,Desktop
AMD Ryzen 7 3800XT,407.95,8,3.9,4.7,105,,True,Matisse 2,Socket AM4,7 nm,32 MB,DDR4,,"Jul 7th, 2020",391.65,23815,2845,226.81,Desktop
AMD Ryzen 5 3600XT,389.0,6,3.8,4.5,95,,True,Matisse 2,Socket AM4,7 nm,32 MB,DDR4,,"Jul 7th, 2019",327.52,18780,2794,197.69,Desktop
AMD Ryzen 7 1700X,251.0,8,3.4,3.8,95,,True,Zen,Socket AM4,14 nm,16 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Mar 2nd, 2017",168.06,15496,2074,163.12,Desktop
AMD Ryzen 5 3500X,,6,3.6,4.1,65,,False,Matisse,Socket AM4,7 nm,32 MB,DDR4,"A300, X300, A320, B350, X370, B450, X470, A520, B550, X570","Sep 24th, 2019",184.95,13319,2525,204.91,Desktop
Intel Core i9-10980XE,923.0,18,3.0,4.8,165,,True,Cascade Lake-X,Socket 2066,14 nm,24.75 MB,DDR4,,"Oct 19th, 2019",999.99,33408,2667,202.47,Desktop
Intel Core i5-12600,257.99,6,3.3,4.8,65,Intel UHD Graphics 770,True,Alder Lake-S,Socket 1700,10 nm,18 MB,"DDR4, DDR5","Intel 600 Series, Intel 700 Series",Jan-22,238.97,21368,3883,328.73,Desktop
Intel Core i9-11900KF,,8,3.5,5.3,125,,True,Rocket Lake,Socket 1200,14 nm,16 MB,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",379.98,25390,3563,203.12,Desktop
Intel Core i5-9400,210.0,6,2.9,4.1,65,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14 nm,9 MB,DDR4,,"Oct 19th, 2018",139.99,9478,2479,145.82,Desktop
Intel Celeron G4900,34.99,2,3.1,3.1,65,Intel UHD Graphics 610,False,Coffee Lake,Socket 1151,14 nm,2 MB,DDR4,,"Apr 3rd, 2018",105.95,2448,1914,45.34,Desktop
Intel Core i7-2600,155.62,4,3.4,3.4,95,Intel HD Graphics 2000,True,Sandy Bridge,Socket 1155,32 nm,8 MB,DDR3,,"Jan 9th, 2011",89.0,5344,1741,56.25,Desktop
Intel Core i5-6400,,4,2.7,3.3,65,Intel HD Graphics 530,False,Skylake,Socket 1151,14 nm,6 MB,DDR4,"Intel 100 Series, Intel 200 Series","Jul 2nd, 2015",129.99,5163,1964,79.43,Desktop
AMD Ryzen 5 1400,110.0,4,3.2,3.4,65,,True,Zen,Socket AM4,14 nm,8 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Apr 11th, 2017",109.65,7783,1904,119.74,Desktop
Intel Core i5-4570,121.16,4,3.2,3.2,84,Intel HD Graphics 4600,False,Haswell,Socket 1150,22 nm,6 MB,DDR3,,"Jun 2nd, 2013",99.99,5199,2036,61.9,Desktop
Intel Core i5-3570K,125.0,4,3.4,3.4,77,Intel HD Graphics 4000,False,Ivy Bridge,Socket 1155,22 nm,6 MB,DDR3,,"Apr 29th, 2012",65.64,4936,2049,64.11,Desktop
Intel Core i3-4150,77.14,2,3.5,3.5,54,Intel HD Graphics 4400,True,Haswell,Socket 1150,22 nm,3 MB,DDR3,"Intel 8 Series, Intel 9 Series","May 1st, 2014",999.0,3360,1933,62.22,Desktop
Intel Core i5-9600KF,230.0,6,3.7,4.6,95,,False,Coffee Lake,Socket 1151,14 nm,9 MB,DDR4,,"Jan 8th, 2019",159.0,10838,2786,114.08,Desktop
Intel Core i5-2400,170.99,4,3.1,3.1,95,Intel HD Graphics 2000,False,Sandy Bridge,Socket 1155,32 nm,6 MB,DDR3,,"Jan 9th, 2011",88.57,3840,1580,40.42,Desktop
Intel Core i9-9900KS,1989.0,8,4.0,5.0,127,Intel UHD Graphics 630,True,Coffee Lake-R,Socket 1151,14 nm,16 MB,DDR4,,"Oct 28th, 2019",898.3,19518,3039,153.69,Desktop
Intel Pentium E2220,22.99,2,2.4,2.4,65,,False,Allendale,Socket 775,65 nm,,"DDR1, DDR2, DDR3",,"Mar 2nd, 2008",55.0,793,892,12.21,Desktop
AMD Ryzen 5 3500,,6,3.6,4.1,65,,False,Picasso,Socket FP5,12 nm,4 MB,DDR4,,"Jan 6th, 2019",,12836,2515,197.47,Desktop
Intel Core i5-8500,258.27,6,3.0,4.1,65,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14 nm,9 MB,DDR4,,"Feb 14th, 2018",190.0,9576,2485,147.32,Desktop
AMD Ryzen 5 1500X,225.0,4,3.5,3.7,65,,True,Zen,Socket AM4,14 nm,16 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Apr 11th, 2017",120.36,9083,2110,139.75,Desktop
Intel Pentium Gold G7400,89.99,2,3.7,3.7,46,Intel UHD Graphics 710,True,Alder Lake-S,Socket 1700,10 nm,6 MB,"DDR4, DDR5","Z690, H670, B660, H610","Jan 4th, 2022",66.99,6896,3084,149.92,Desktop
AMD Athlon 3000G,98.99,2,3.5,3.5,35,Radeon Vega 3,True,Zen,Socket AM4,14 nm,4 MB,DDR4,,"Nov 20th, 2019",54.99,4480,1999,128.01,Desktop
Intel Pentium Gold G6400,53.94,2,4.0,4.0,58,Intel UHD Graphics 610,True,Comet Lake,Socket 1200,14 nm,4 MB,DDR4,,"Apr 30th, 2020",74.63,4130,2484,71.21,Desktop
AMD Ryzen 7 1800X,295.0,8,3.6,4.0,95,,True,Zen,Socket AM4,14 nm,16 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Mar 2nd, 2017",178.03,16306,2186,171.64,Desktop
Intel Core i3-6100,100.0,2,3.7,3.7,51,Intel HD Graphics 530,True,Skylake,Socket 1151,14 nm,4 MB,DDR4,,"Sep 1st, 2015",131.51,4177,2220,81.9,Desktop
AMD Ryzen 3 1200,115.0,4,3.1,3.4,65,,False,Zen,Socket AM4,14 nm,8 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Jul 27th, 2017",103.55,6304,1927,96.98,Desktop
Intel Xeon E5-2660,28.99,8,2.2,3.0,95,,True,Sandy Bridge-EP,Socket 2011,32 nm,20 MB,DDR3,,"Mar 6th, 2012",64.73,8104,1395,85.3,Server
Intel Core i5-4690,100.12,4,3.5,3.9,84,Intel HD Graphics 4600,False,Haswell,Socket 1150,22 nm,6 MB,DDR3,,"May 1st, 2014",118.88,5572,2205,66.33,Desktop
Intel Core i9-12900F,432.0,16,2.4,5.1,65,,True,Alder Lake-S,Socket 1700,10 nm,30 MB,"DDR4, DDR5","Z690, H670, B660, H610","Jan 4th, 2022",529.99,35726,4045,549.63,Desktop
Intel Core i7-5820K,,6,3.3,3.6,140,,True,Haswell-E,Socket 2011-3,22 nm,15 MB,DDR4,,"Sep 1st, 2014",255.36,9814,2010,70.1,Desktop
Intel Core i5-10500,219.99,6,3.1,4.5,65,Intel UHD Graphics 630,True,Comet Lake,Socket 1200,14 nm,12 MB,DDR4,,"Apr 30th, 2020",209.88,13056,2785,200.86,Desktop
Intel Core i7-6900K,164.9,8,3.2,3.7,140,,True,Broadwell-E,Socket 2011-3,14 nm,20 MB,DDR4,,"May 31st, 2016",384.95,14291,2361,102.08,Desktop
Intel Core i5-4670K,144.25,4,3.4,3.4,84,Intel HD Graphics 4600,False,Haswell,Socket 1150,22 nm,6 MB,DDR3,,"Jun 2nd, 2013",154.88,5547,2154,66.04,Desktop
Intel Core i9-10900X,508.0,10,3.7,4.7,165,,True,Cascade Lake-X,Socket 2066,14 nm,19.25 MB,DDR4,,"Oct 19th, 2019",560.0,22683,2696,137.47,Desktop
Intel Core i7-6850K,165.0,6,3.6,3.8,140,,True,Broadwell-E,Socket 2011-3,14 nm,15 MB,DDR4,,"May 31st, 2016",326.97,11295,2407,80.68,Desktop
Intel Core i5-2500K,234.0,4,3.3,3.3,95,Intel HD Graphics 3000,False,Sandy Bridge,Socket 1155,32 nm,6 MB,DDR3,"Z77, Z75, Q77, H77, Q75, B75, Z68, P67, H67, Q67, B65, H61","Jan 9th, 2011",59.0,4097,1699,43.13,Desktop
Intel Core i3-2100,49.0,2,3.1,3.1,65,Intel HD Graphics 2000,True,Sandy Bridge,Socket 1155,32 nm,3 MB,DDR3,"Z77, Z75, Q77, H77, Q75, B75, Z68, P67, H67, Q67, B65, H61","Feb 20th, 2011",116.19,1819,1426,27.98,Desktop
Intel Core i3-7350K,59.99,2,4.2,4.2,60,Intel HD Graphics 630,True,Kaby Lake,Socket 1151,14 nm,4 MB,DDR4,,"Jan 3rd, 2017",250.8,4819,2493,80.32,Desktop
Intel Core i9-12900,458.99,16,2.4,5.1,65,Intel UHD Graphics 770,True,Alder Lake-S,Socket 1700,10 nm,30 MB,"DDR4, DDR5","Z690, H670, B660, H610","Jan 4th, 2022",509.0,38281,4162,588.95,Desktop
Intel Core i5-6600,,4,3.3,3.9,65,Intel HD Graphics 530,False,Skylake,Socket 1151,14 nm,6 MB,DDR4,"Intel 100 Series, Intel 200 Series","Jul 1st, 2015",119.0,6107,2284,93.96,Desktop
Intel Core i5-7600,130.0,4,3.5,4.1,65,Intel HD Graphics 630,False,Kaby Lake,Socket 1151,14 nm,6 MB,DDR4,,"Jan 3rd, 2017",169.99,6598,2476,101.5,Desktop
Intel Core i3-7100,103.0,2,3.9,3.9,51,Intel HD Graphics 630,True,Kaby Lake,Socket 1151,14 nm,3 MB,DDR4,,"Jan 3rd, 2017",127.99,4342,2338,85.13,Desktop
Intel Pentium G3260,,2,3.3,3.3,53,Intel HD Graphics,False,,,,,,,,59.97,2049,1867,38.65,Desktop
Intel Core i3-9100,140.0,4,3.6,4.2,65,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14 nm,6 MB,DDR4,,"Sep 1st, 2018",169.96,6625,2519,101.93,Desktop
Intel Core i5-3570,,4,3.4,3.4,77,Intel HD Graphics 2500,False,Ivy Bridge,Socket 1155,22 nm,6 MB,DDR3,"Intel 6 Series, Intel 7 Series","Jun 1st, 2012",166.0,4910,2049,63.77,Desktop
Intel Core i7-2700K,95.0,4,3.5,3.5,95,Intel HD Graphics 3000,True,Sandy Bridge,Socket 1155,32 nm,8 MB,DDR3,"Z77, Z75, Q77, H77, Q75, B75, Z68, P67, H67, Q67, B65, H61","Oct 24th, 2011",180.0,5604,1786,58.99,Desktop
Intel Celeron G5925,36.97,2,3.6,3.6,58,Intel UHD Graphics 610,False,,,,,,,,53.93,2939,2282,50.67,Desktop
Intel Core i7-6800K,195.0,6,3.4,3.6,140,,True,Broadwell-E,Socket 2011-3,14 nm,15 MB,DDR4,,"May 31st, 2016",259.99,10681,2272,76.29,Desktop
AMD Athlon II X2 240,29.48,2,2.8,2.8,65,,False,Regor,Socket AM3,45 nm,,DDR3,,"Jul 23rd, 2009",24.95,935,1027,14.38,Desktop
Intel Core i9-10900F,312.99,10,2.8,5.2,65,,True,Comet Lake,Socket 1200,14 nm,20 MB,DDR4,,"Apr 30th, 2020",350.0,20881,3070,321.25,Desktop
Intel Core i7-2600K,199.88,4,3.4,3.4,95,Intel HD Graphics 3000,True,Sandy Bridge,Socket 1155,32 nm,8 MB,DDR3,"Z77, Z75, Q77, H77, Q75, B75, Z68, P67, H67, Q67, B65, H61","Jan 9th, 2011",79.99,5500,1745,57.89,Desktop
AMD Athlon 200GE,,2,3.2,3.2,35,Radeon Vega 3,True,Zen,Socket AM4,14 nm,4 MB,DDR4,"AMD 300 Series, AMD 400 Series","Sep 6th, 2018",123.89,4135,1817,118.15,Desktop
Intel Core i9-7900X,413.0,10,3.3,4.5,140,,True,Skylake-X,Socket 2066,14 nm,14 MB,DDR4,,"Jun 26th, 2017",269.98,21310,2594,152.21,Desktop
Intel Core i9-10900,319.99,10,2.8,5.2,65,Intel UHD Graphics 630,True,Comet Lake,Socket 1200,14 nm,20 MB,DDR4,,"Apr 30th, 2020",389.97,20446,3057,314.55,Desktop
Intel Core i7-8086K,476.58,6,4.0,5.0,95,Intel UHD Graphics 630,True,Coffee Lake,Socket 1151,14 nm,12 MB,DDR4,,"Jun 5th, 2018",549.0,14550,2895,153.16,Desktop
Intel Core i5-4440,123.85,4,3.1,3.3,84,Intel HD Graphics 4600,False,Haswell,Socket 1150,22 nm,6 MB,DDR3,,"Sep 1st, 2013",79.0,4718,1860,56.16,Desktop
Intel Core i9-11900,363.99,8,2.5,5.2,65,Intel UHD Graphics 750,True,Rocket Lake,Socket 1200,14 nm,16 MB,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",347.88,23117,3443,355.65,Desktop
Intel Pentium Gold G5420,58.99,2,3.8,3.8,54,Intel UHD Graphics 610,True,,,,,,,,129.55,3641,2286,67.43,Desktop
Intel Core i9-7960X,2399.94,16,2.8,4.4,165,,True,Skylake-X,Socket 2066,14 nm,22 MB,DDR4,,"Sep 1st, 2017",990.97,26699,2525,161.81,Desktop
Intel Core i5-11500,227.99,6,2.7,4.6,65,Intel UHD Graphics 750,True,Rocket Lake,Socket 1200,14 nm,12 MB,,,"Mar 16th, 2021",197.19,17626,3153,271.17,Desktop
Intel Core i7-7740X,193.74,4,4.3,4.5,112,,True,Kaby Lake-X,Socket 2066,14 nm,8 MB,,,"Jun 26th, 2017",225.99,9864,2805,88.07,Desktop
Intel Pentium E6600,50.0,2,3.06,3.06,65,,False,Wolfdale,Socket 775,45 nm,,,,"Jan 17th, 2010",16.99,1072,1156,16.49,Desktop
AMD Ryzen 3 1300X,,4,3.5,3.7,65,,False,Zen,Socket AM4,14 nm,8 MB,,,"Jul 27th, 2017",115.0,6925,2096,106.54,Desktop
Intel Core i5-9500,210.0,6,3.0,4.4,65,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14 nm,9 MB,,,"Oct 19th, 2018",297.59,9698,2578,149.2,Desktop
Intel Celeron G440,,1,1.6,1.6,35,Intel HD Graphics,False,Sandy Bridge,Socket 1155,32 nm,1 MB,,,"Sep 4th, 2011",100.0,426,739,12.17,Desktop
Intel Core i5-10600,207.86,6,3.3,4.8,65,Intel UHD Graphics 630,True,Comet Lake,Socket 1200,14 nm,12 MB,,,"Apr 30th, 2020",219.99,13928,2911,214.27,Desktop
Intel Core i5-8600,239.86,6,3.1,4.3,65,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14 nm,9 MB,,,"Feb 14th, 2018",275.67,9849,2582,151.52,Desktop
Intel Core i9-9900,595.0,8,3.1,5.0,65,Intel UHD Graphics 630,True,Coffee Lake-R,Socket 1151,14 nm,16 MB,,,"Apr 23rd, 2019",458.99,16873,2863,259.58,Desktop
Intel Core i5-2500,,4,3.3,3.3,95,Intel HD Graphics 2000,False,Sandy Bridge,Socket 1155,32 nm,6 MB,,,"Jan 9th, 2011",58.87,4101,1708,43.17,Desktop
Intel Core i9-10920X,679.99,12,3.5,4.8,165,,True,Cascade Lake-X,Socket 2066,14 nm,19.25 MB,,,"Oct 19th, 2019",679.99,26696,2766,161.79,Desktop
Intel Core i9-11900F,312.5,8,2.5,5.2,65,,True,Rocket Lake,Socket 1200,14 nm,16 MB,,,"Mar 16th, 2021",379.99,23814,3528,366.37,Desktop
Intel Core i3-4130,77.14,2,3.4,3.4,54,Intel HD Graphics 4400,True,Haswell,Socket 1150,22 nm,3 MB,DDR3,,"Sep 1st, 2013",72.29,3291,1890,60.94,Desktop
Intel Pentium Gold G5400,64.95,2,3.7,3.7,58,Intel UHD Graphics 610,True,Coffee Lake,Socket 1151,14 nm,4 MB,DDR4,,"Apr 2nd, 2018",112.88,3723,2224,68.94,Desktop
Intel Pentium G4400,42.99,2,3.3,3.3,54,Intel HD Graphics 510,False,Skylake,Socket 1151,14 nm,4 MB,"DDR3, DDR4",,"Sep 1st, 2015",97.41,2599,2024,48.13,Desktop
Intel Core i3-4170,,2,3.7,3.7,54,Intel HD Graphics 4400,True,Haswell,Socket 1150,22 nm,3 MB,DDR3,"Intel 8 Series, Intel 9 Series","May 1st, 2014",95.8,3569,2069,66.1,Desktop
Intel Core i7-6950X,328.29,10,3.0,3.5,140,,True,Broadwell-E,Socket 2011-3,14 nm,25 MB,DDR4,,"May 31st, 2016",377.32,17142,2334,122.44,Desktop
Intel Pentium G4560,,2,3.5,3.5,54,Intel HD Graphics 610,True,Kaby Lake,Socket 1151,14 nm,3 MB,DDR4,,"Jan 3rd, 2017",168.0,3513,2103,65.06,Desktop
Intel Core i3-9350KF,,4,4.0,4.6,91,,False,Coffee Lake,Socket 1151,14 nm,8 MB,DDR4,,"Jan 8th, 2019",207.36,7318,2666,80.42,Desktop
Intel Core i3-3220,,2,3.3,3.3,55,Intel HD Graphics 2500,True,Ivy Bridge,Socket 1155,22 nm,3 MB,DDR3,,"Sep 3rd, 2012",39.94,2203,1725,40.05,Desktop
Intel Core i7-4930K,175.0,6,3.4,3.9,130,,True,Ivy Bridge-E,Socket 2011,22 nm,12 MB,DDR3,,"Sep 1st, 2013",174.85,9360,1963,72.0,Desktop
Intel Core i3-8350K,217.3,4,4.0,4.0,91,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14 nm,8 MB,DDR4,,"Oct 5th, 2017",206.16,6862,2489,75.41,Desktop
Intel Core i7-7800X,405.86,6,3.5,4.0,140,,True,Skylake-X,Socket 2066,14 nm,8.25 MB,DDR4,,"Jun 26th, 2017",199.99,12864,2414,91.89,Desktop
Intel Pentium Gold G6405,72.98,2,4.1,4.1,58,Intel UHD Graphics 610,True,Comet Lake-R,Socket 1200,14 nm,4 MB,DDR4,,"Mar 16th, 2021",60.1,4285,2534,73.87,Desktop
Intel Core i5-4670,135.86,4,3.4,3.4,84,Intel HD Graphics 4600,False,Haswell,Socket 1150,22 nm,6 MB,DDR3,,"Jun 2nd, 2013",100.0,5440,2142,64.77,Desktop
Intel Core i5-3330,,4,3.0,3.0,77,Intel HD Graphics 2500,False,Ivy Bridge,Socket 1155,22 nm,6 MB,DDR3,,"Sep 3rd, 2012",74.35,4090,1726,53.11,Desktop
Intel Core i7-5960X,,8,3.0,3.5,140,,True,Haswell-E,Socket 2011-3,22 nm,20 MB,DDR4,,"Sep 1st, 2014",215.61,12719,1979,90.85,Desktop
Intel Core i3-2120,128.12,2,3.3,3.3,65,Intel HD Graphics 2000,True,Sandy Bridge,Socket 1155,32 nm,3 MB,DDR3,"Z77, Z75, Q77, H77, Q75, B75, Z68, P67, H67, Q67, B65, H61","Feb 20th, 2011",27.44,1926,1517,29.62,Desktop
Intel Core i7-7820X,329.88,8,3.6,4.5,140,,True,Skylake-X,Socket 2066,14 nm,11 MB,,,"Jun 26th, 2017",709.0,17283,2539,123.45,Desktop
Intel Core i7-7700T,489.95,4,2.9,3.8,35,Intel HD Graphics 630,True,Kaby Lake,Socket 1151,14 nm,8 MB,DDR4,,"Jan 3rd, 2017",390.0,7561,2156,216.04,Desktop
Intel Xeon E-2176G,1070.23,6,3.7,4.7,80,Intel HD Graphics P630,True,Coffee Lake-S WS,Socket 1151,14 nm,12 MB,DDR4,"C242, C246","Jul 12th, 2018",448.0,13643,2749,170.54,Server
Intel Celeron E3500,,2,2.7,2.7,65,,False,Wolfdale,Socket 775,45 nm,,"DDR1, DDR2, DDR3",,"Aug 29th, 2010",21.0,935,1154,14.39,Desktop
Intel Core i5-6402P,104.99,4,2.8,3.4,65,Intel HD Graphics 510,False,,,,,,,,139.88,5414,2027,83.29,Desktop
Intel Core i3-4160,,2,3.6,3.6,54,Intel HD Graphics 4400,True,Haswell,Socket 1150,22 nm,3 MB,DDR3,,"Jul 21st, 2014",59.99,3495,2014,64.72,Desktop
Intel Core i5-11600,240.0,6,2.8,4.8,65,Intel UHD Graphics 750,True,Rocket Lake,Socket 1200,14 nm,12 MB,,,"Mar 16th, 2021",216.41,18318,3302,281.81,Desktop
Intel Core i7-920,99.0,4,2.66,2.66,130,,True,Bloomfield,Socket 1366,45 nm,8 MB,,,"Nov 17th, 2008",189.88,2741,1220,21.09,Desktop
Intel Core i9-7980XE,1193.0,18,2.6,4.4,165,,True,Skylake-X,Socket 2066,14 nm,24.75 MB,DDR4,,"Sep 1st, 2017",816.42,29842,2474,180.86,Desktop
Intel Celeron G4900T,59.95,2,1.8,1.8,35,Intel UHD Graphics 610,False,Coffee Lake,Socket 1151,14 nm,2 MB,DDR4,,"Apr 3rd, 2018",77.95,2403,1789,68.65,Desktop
Intel Pentium Gold G6605,69.99,2,4.3,4.3,58,Intel UHD Graphics 630,True,Comet Lake-R,Socket 1200,14 nm,4 MB,DDR4,,"Mar 16th, 2021",124.25,4493,2658,77.47,Desktop
Intel Celeron G5905,,2,3.5,3.5,58,Intel UHD Graphics 610,False,,,,,,,,47.19,2815,2189,48.53,Desktop
Intel Core i7-5930K,,6,3.5,3.7,140,,True,Haswell-E,Socket 2011-3,22 nm,15 MB,DDR4,,"Sep 1st, 2014",319.95,10304,2063,73.6,Desktop
Intel Pentium G640,45.0,2,2.8,2.8,65,Intel HD Graphics,False,Sandy Bridge,Socket 1155,32 nm,3 MB,DDR3,,"Jun 3rd, 2012",30.0,1270,1290,19.54,Desktop
Intel Core i5-4430,123.85,4,3.0,3.0,84,Intel HD Graphics 4600,False,Haswell,Socket 1150,22 nm,6 MB,DDR3,,"Jun 2nd, 2013",148.77,4646,1806,55.31,Desktop
Intel Core i7-3930K,298.98,6,3.2,3.2,130,,True,Sandy Bridge-E,Socket 2011,32 nm,12 MB,DDR3,,"Nov 14th, 2011",250.0,8244,1762,63.42,Desktop
Intel Xeon E5-2680,80.0,8,2.7,3.5,130,,True,Sandy Bridge-EP,Socket 2011,32 nm,20 MB,DDR3,,"Mar 6th, 2012",85.45,9361,1561,72.01,Server
Intel Core i9-10940X,850.0,14,3.3,4.8,165,,True,Cascade Lake-X,Socket 2066,14 nm,19.25 MB,DDR4,,"Oct 19th, 2019",771.99,28619,2724,173.45,Desktop
AMD A10-9700,120.0,4,3.5,3.8,65,Radeon R7 (on-die),False,Bristol Ridge,Socket AM4,28 nm,,DDR4,"X370, B350, A320","Jul 27th, 2017",91.75,3546,1616,54.55,Desktop
Intel Celeron G3900,49.99,2,2.8,2.8,51,Intel HD Graphics 510,False,Skylake,Socket 1151,14 nm,4 MB,"DDR3, DDR4",,"Sep 1st, 2015",77.95,2212,1718,43.38,Desktop
Intel Core i7-3820,,4,3.6,3.6,130,,True,Sandy Bridge-E,Socket 2011,32 nm,10 MB,DDR3,,"Feb 13th, 2012",117.97,5754,1736,44.26,Desktop
