chipset,memory,core_clock,boost_clock,Year,Max-Temp (in C),Fan Noise (in dB),Recommended PSU (in W),1080p perf (FPS),1440p perf (FPS),4k perf (FPS),V-RAM (in GB),overall FPS performance
GeForce RTX 3060,12.0,1320.0,1777.0,2021,77.0,46.0,550.0,124.0,92.0,55.0,8.0,90.33
GeForce RTX 3060,8.0,1320.0,1867.0,2021,77.0,46.0,550.0,124.0,92.0,55.0,8.0,90.33
GeForce RTX 4070,12.0,1920.0,2490.0,2022,72.0,48.0,600.0,295.0,225.0,141.0,12.0,220.33
GeForce RTX 4090,24.0,2235.0,2640.0,2022,72.0,48.0,850.0,369.0,281.0,176.0,24.0,275.33
Radeon RX 6800 XT,16.0,1825.0,2250.0,2020,77.0,54.0,650.0,236.0,176.0,100.0,16.0,170.67
Radeon RX 6700 XT,12.0,2321.0,2321.0,2021,74.0,51.0,550.0,163.0,122.0,70.0,12.0,118.33
GeForce RTX 3060 Ti,8.0,1410.0,1710.0,2020,77.0,46.0,550.0,150.0,113.0,69.0,8.0,110.67
GeForce RTX 4060 Ti,8.0,2310.0,2310.0,2022,72.0,48.0,700.0,225.0,168.0,103.0,10.0,165.33
GeForce RTX 4060 Ti,16.0,2310.0,2535.0,2022,72.0,48.0,700.0,225.0,168.0,103.0,10.0,165.33
Radeon RX 6600 XT,8.0,1968.0,2602.0,2021,72.0,48.0,450.0,135.0,101.0,59.0,8.0,98.33
GeForce RTX 4080,16.0,2205.0,2535.0,2022,72.0,48.0,700.0,320.0,244.0,153.0,16.0,239.0
Radeon RX 580,8.0,1366.0,1386.0,2017,75.0,45.0,535.0,71.0,51.0,29.0,8.0,50.33
Radeon RX 580,4.0,1257.0,1366.0,2017,75.0,45.0,535.0,71.0,51.0,29.0,8.0,50.33
GeForce RTX 3070 Ti,8.0,1575.0,1830.0,2021,80.0,47.0,600.0,187.0,139.0,89.0,8.0,138.33
GeForce RTX 3050,8.0,1550.0,1550.0,2021,68.0,42.0,350.0,92.0,68.0,41.0,4.0,67.0
GeForce GTX 1660 SUPER,6.0,1530.0,1815.0,2019,61.0,45.0,470.0,91.0,67.0,40.0,6.0,66.0
Radeon RX 6800,16.0,1700.0,1700.0,2020,75.0,54.0,650.0,197.0,147.0,79.0,16.0,141.0
GeForce RTX 3070,8.0,1500.0,1815.0,2020,79.0,47.0,600.0,178.0,133.0,80.0,8.0,130.33
GeForce RTX 3080,10.0,1440.0,1740.0,2020,79.0,47.0,700.0,232.0,173.0,105.0,10.0,170.0
GeForce RTX 3080,12.0,1260.0,1800.0,2020,79.0,47.0,700.0,232.0,173.0,105.0,10.0,170.0
GeForce RTX 3090,24.0,1395.0,1800.0,2020,83.0,49.0,800.0,246.0,187.0,117.0,24.0,183.33
Radeon RX 6900 XT,16.0,1950.0,2365.0,2020,80.0,54.0,700.0,250.0,186.0,105.0,16.0,180.33
GeForce RTX 3080 Ti,12.0,1365.0,1800.0,2021,82.0,48.0,750.0,241.0,182.0,112.0,12.0,178.33
GeForce RTX 2060,6.0,1365.0,1755.0,2019,72.0,45.0,500.0,107.0,76.0,45.0,6.0,76.0
GeForce RTX 2060,12.0,1470.0,1650.0,2019,72.0,45.0,500.0,107.0,76.0,45.0,6.0,76.0
GeForce GTX 1050 Ti,4.0,1341.0,1455.0,2016,65.0,45.0,425.0,39.0,28.0,17.0,4.0,28.0
Radeon RX 5700 XT,8.0,1650.0,1905.0,2019,84.0,54.0,575.0,122.0,91.0,54.0,8.0,89.0
GeForce GTX 1080 Ti,11.0,1493.0,1632.0,2017,84.0,54.0,600.0,129.0,98.0,59.0,11.0,95.33
GeForce RTX 2060 SUPER,8.0,1470.0,1665.0,2019,72.0,45.0,500.0,114.0,83.0,50.0,8.0,82.33
GeForce GTX 1660 Ti,6.0,1500.0,1845.0,2019,61.0,45.0,500.0,96.0,71.0,42.0,6.0,69.67
GeForce RTX 2070 SUPER,8.0,1605.0,1770.0,2019,74.0,45.0,565.0,128.0,95.0,57.0,8.0,93.33
GeForce GTX 1050,2.0,1404.0,1518.0,2018,65.0,45.0,300.0,33.0,24.0,14.0,3.0,23.67
GeForce GTX 1050,3.0,1455.0,1569.0,2018,65.0,45.0,300.0,33.0,24.0,14.0,3.0,23.67
GeForce RTX 4060,8.0,1830.0,1830.0,2022,72.0,48.0,550.0,195.0,145.0,88.0,8.0,142.67
GeForce GTX 1080,8.0,1721.0,1860.0,2016,83.0,51.0,530.0,109.0,80.0,48.0,8.0,79.0
GeForce GTX 1070,8.0,1506.0,1683.0,2016,80.0,48.0,500.0,93.0,68.0,40.0,8.0,67.0
GeForce GT 1030,2.0,1266.0,1506.0,2017,,,380.0,20.0,14.0,8.0,2.0,14.0
GeForce GTX 1650 SUPER,4.0,1530.0,1800.0,2019,66.0,46.0,470.0,73.0,53.0,32.0,4.0,52.67
GeForce RTX 2080 Ti,11.0,1350.0,1665.0,2018,83.0,49.0,600.0,161.0,123.0,75.0,11.0,119.67
GeForce GTX 1660,6.0,1530.0,1785.0,2019,61.0,45.0,470.0,85.0,63.0,38.0,6.0,62.0
GeForce RTX 2080 SUPER,8.0,1650.0,1815.0,2019,78.0,47.0,565.0,145.0,110.0,67.0,8.0,107.33
GeForce GTX 970,4.0,1140.0,1279.0,2014,64.0,47.0,498.0,62.0,44.0,27.0,4.0,44.33
Radeon RX 5600 XT,6.0,1235.0,1620.0,2020,70.0,40.0,480.0,105.0,78.0,46.0,6.0,76.33
Radeon RX 570,8.0,1168.0,1286.0,2017,74.0,38.0,470.0,59.0,43.0,25.0,4.0,42.33
Radeon RX 570,4.0,1168.0,1284.0,2017,74.0,38.0,470.0,59.0,43.0,25.0,4.0,42.33
GeForce RTX 2070,8.0,1410.0,1845.0,2018,79.0,47.0,525.0,120.0,89.0,53.0,8.0,87.33
GeForce RTX 2080,8.0,1515.0,1710.0,2018,78.0,48.0,565.0,137.0,103.0,62.0,8.0,100.67
GeForce GTX 1070 Ti,8.0,1607.0,1683.0,2017,81.0,48.0,530.0,101.0,74.0,44.0,8.0,73.0
TITAN RTX,24.0,1350.0,1770.0,2018,83.0,49.0,600.0,166.0,127.0,77.0,24.0,123.33
Radeon RX 590,8.0,1580.0,1600.0,2018,82.0,42.0,575.0,80.0,58.0,33.0,8.0,57.0
GeForce GTX 750 Ti,2.0,1072.0,1150.0,2014,65.0,39.0,410.0,25.0,16.0,10.0,2.0,17.0
GeForce GTX 750 Ti,4.0,1124.0,1202.0,2014,65.0,39.0,410.0,25.0,16.0,10.0,2.0,17.0
GeForce GTX 960,4.0,1241.0,1304.0,2015,75.0,40.0,470.0,38.0,27.0,16.0,2.0,27.0
GeForce GTX 960,2.0,1279.0,1342.0,2015,75.0,40.0,470.0,38.0,27.0,16.0,2.0,27.0
GeForce GTX 980 Ti,6.0,1178.0,1279.0,2015,83.0,53.0,600.0,84.0,62.0,37.0,6.0,61.0
Radeon RX 480,8.0,1120.0,1316.0,2016,77.0,51.0,500.0,59.0,44.0,27.0,8.0,43.33
Radeon RX 480,4.0,1208.0,1306.0,2016,77.0,51.0,500.0,59.0,44.0,27.0,8.0,43.33
Radeon RX 470,4.0,932.0,1216.0,2016,75.0,49.0,470.0,52.0,39.0,23.0,4.0,38.0
Radeon RX 470,8.0,1121.0,1260.0,2016,75.0,49.0,470.0,52.0,39.0,23.0,4.0,38.0
GeForce GTX 980,4.0,1126.0,1216.0,2014,81.0,48.0,515.0,73.0,53.0,32.0,4.0,52.67
Radeon RX 5700,8.0,1465.0,1725.0,2019,75.0,54.0,560.0,112.0,84.0,50.0,8.0,82.0
Radeon R9 390,8.0,1000.0,1060.0,2015,75.0,57.0,625.0,59.0,43.0,25.0,8.0,42.33
GeForce GTX 770,2.0,1046.0,1085.0,2013,82.0,50.0,580.0,42.0,29.0,17.0,2.0,29.33
GeForce GTX 770,4.0,1137.0,1137.0,2013,82.0,50.0,580.0,42.0,29.0,17.0,2.0,29.33
GeForce GTX 660,2.0,1020.0,1020.0,2012,81.0,48.0,490.0,33.0,19.0,11.0,2.0,21.0
GeForce GTX 660,3.0,980.0,980.0,2012,81.0,48.0,490.0,33.0,19.0,11.0,2.0,21.0
GeForce GTX 950,2.0,1190.0,1393.0,2015,73.0,39.0,440.0,30.0,21.0,13.0,2.0,21.33
Radeon R9 380,4.0,970.0,1000.0,2015,70.0,51.0,540.0,39.0,28.0,16.0,2.0,27.67
Radeon R9 380,2.0,990.0,990.0,2015,70.0,51.0,540.0,39.0,28.0,16.0,2.0,27.67
GeForce GTX 760,2.0,1085.0,1085.0,2013,82.0,51.0,520.0,36.0,27.0,14.0,2.0,25.67
GeForce GTX 760,4.0,1085.0,1150.0,2013,82.0,51.0,520.0,36.0,27.0,14.0,2.0,25.67
Radeon R9 290,4.0,1000.0,1000.0,2013,94.0,60.0,625.0,57.0,42.0,26.0,4.0,41.67
Radeon RX 460,2.0,1090.0,1210.0,2016,67.0,48.0,470.0,27.0,20.0,12.0,4.0,19.67
Radeon RX 460,4.0,1175.0,1250.0,2016,67.0,48.0,470.0,27.0,20.0,12.0,4.0,19.67
GeForce GTX 650,2.0,1110.0,1110.0,2012,61.0,45.0,415.0,,,,1.0,
GeForce GTX 650,1.0,1150.0,1150.0,2012,61.0,45.0,415.0,,,,1.0,
Radeon VII,16.0,1400.0,1750.0,2019,86.0,56.0,645.0,126.0,94.0,56.0,16.0,92.0
GeForce GTX 780,3.0,967.0,967.0,2013,84.0,52.0,600.0,55.0,40.0,24.0,3.0,39.67
GeForce GTX 780,6.0,967.0,1020.0,2013,84.0,52.0,600.0,55.0,40.0,24.0,3.0,39.67
Radeon HD 7750,2.0,800.0,800.0,2012,74.0,50.0,405.0,18.0,8.0,5.0,1.0,10.33
Radeon HD 7750,1.0,,,2012,74.0,50.0,405.0,18.0,8.0,5.0,1.0,10.33
Radeon HD 7750,4.0,800.0,800.0,2012,74.0,50.0,405.0,18.0,8.0,5.0,1.0,10.33
Radeon R7 370,4.0,1020.0,1070.0,2015,69.0,56.0,460.0,29.0,20.0,12.0,2.0,20.33
Radeon R7 370,2.0,970.0,1020.0,2015,69.0,56.0,460.0,29.0,20.0,12.0,2.0,20.33
GeForce GTX 260,0.875,680.0,680.0,2008,81.0,52.0,532.0,14.0,9.0,5.0,0.0,9.33
GeForce GTX 560 Ti,1.0,900.0,900.0,2011,78.0,45.0,520.0,31.0,21.0,10.0,1.0,20.67
GeForce GTX 560 Ti,2.0,822.0,822.0,2011,78.0,45.0,520.0,31.0,21.0,10.0,1.0,20.67
Radeon HD 7990,6.0,950.0,950.0,2013,82.0,54.0,725.0,73.0,56.0,32.0,3.0,53.67
Radeon R9 280X,3.0,1070.0,1070.0,2013,71.0,50.0,600.0,46.0,33.0,20.0,3.0,33.0
Radeon R9 280X,6.0,1000.0,1050.0,2013,71.0,50.0,600.0,46.0,33.0,20.0,3.0,33.0
Radeon R9 295X2,8.0,1018.0,1018.0,2014,73.0,50.0,850.0,101.0,73.0,46.0,4.0,73.33
GeForce GTX 550 Ti,1.0,910.0,910.0,2011,85.0,53.0,466.0,19.0,9.0,5.0,1.0,11.0
GeForce GTX 550 Ti,2.0,900.0,900.0,2011,85.0,53.0,466.0,19.0,9.0,5.0,1.0,11.0
GeForce GTX 650 Ti,1.0,928.0,928.0,2012,69.0,41.0,460.0,26.0,13.0,8.0,1.0,15.67
GeForce GTX 650 Ti,2.0,1071.0,1071.0,2012,69.0,41.0,460.0,26.0,13.0,8.0,1.0,15.67
GeForce GTX 660 Ti,2.0,1028.0,1028.0,2012,78.0,51.0,500.0,43.0,30.0,13.0,2.0,28.67
GeForce GTX 660 Ti,3.0,1032.0,1032.0,2012,78.0,51.0,500.0,43.0,30.0,13.0,2.0,28.67
Radeon R9 390X,8.0,1050.0,1100.0,2015,94.0,65.0,625.0,64.0,48.0,28.0,8.0,46.67
GeForce GTX 670,2.0,1006.0,1006.0,2012,80.0,52.0,520.0,48.0,34.0,15.0,2.0,32.33
GeForce GTX 670,4.0,967.0,967.0,2012,80.0,52.0,520.0,48.0,34.0,15.0,2.0,32.33
Radeon R9 380X,4.0,1040.0,1040.0,2015,71.0,41.0,540.0,44.0,32.0,19.0,4.0,31.67
GeForce GTX 480,1.5,700.0,700.0,2010,94.0,,600.0,27.0,18.0,11.0,1.0,18.67
Radeon HD 7950,3.0,850.0,850.0,2012,76.0,56.0,550.0,44.0,31.0,13.0,3.0,29.33
Radeon R9 290X,4.0,1040.0,1040.0,2013,94.0,56.0,640.0,61.0,45.0,27.0,4.0,44.33
Radeon R9 290X,8.0,1030.0,1030.0,2013,94.0,56.0,640.0,61.0,45.0,27.0,4.0,44.33
Radeon HD 7850,2.0,920.0,920.0,2012,66.0,50.0,480.0,34.0,23.0,11.0,2.0,22.67
Radeon HD 7850,4.0,1000.0,1000.0,2012,66.0,50.0,480.0,34.0,23.0,11.0,2.0,22.67
Radeon HD 7850,1.0,860.0,860.0,2012,66.0,50.0,480.0,34.0,23.0,11.0,2.0,22.67
GeForce GTX 580,3.0,772.0,772.0,2010,88.0,59.0,594.0,41.0,29.0,13.0,1.0,27.67
GeForce GTX 580,1.5,782.0,782.0,2010,88.0,59.0,594.0,41.0,29.0,13.0,1.0,27.67
GeForce GTX 680,2.0,1006.0,1006.0,2012,84.0,57.0,545.0,51.0,37.0,18.0,2.0,35.33
GeForce GTX 680,4.0,1071.0,1071.0,2012,84.0,57.0,545.0,51.0,37.0,18.0,2.0,35.33
GeForce GTX 560,1.0,810.0,810.0,2011,79.0,50.0,500.0,27.0,13.0,8.0,1.0,16.0
GeForce GTX 560,2.0,850.0,850.0,2011,79.0,50.0,500.0,27.0,13.0,8.0,1.0,16.0
GeForce GTX 690,4.0,915.0,915.0,2012,85.0,58.0,650.0,78.0,61.0,31.0,2.0,56.67
GeForce GT 640,2.0,901.0,901.0,2012,60.0,51.0,415.0,10.0,5.0,3.0,2.0,6.0
GeForce GT 640,1.0,,,2012,60.0,51.0,415.0,10.0,5.0,3.0,2.0,6.0
GeForce GT 640,4.0,901.0,901.0,2012,60.0,51.0,415.0,10.0,5.0,3.0,2.0,6.0
GeForce GTX 650 Ti Boost,2.0,1072.0,1072.0,2013,77.0,47.0,484.0,29.0,17.0,11.0,2.0,19.0
GeForce GTX 650 Ti Boost,1.0,980.0,980.0,2013,77.0,47.0,484.0,29.0,17.0,11.0,2.0,19.0
Radeon R9 270,2.0,950.0,975.0,2013,66.0,48.0,500.0,32.0,21.0,13.0,2.0,22.0
GeForce GTX 570,1.25,797.0,797.0,2010,87.0,57.0,569.0,37.0,25.0,12.0,1.0,24.67
GeForce GTX 570,2.5,732.0,732.0,2010,87.0,57.0,569.0,37.0,25.0,12.0,1.0,24.67
Radeon R7 250,2.0,1050.0,1100.0,2013,65.0,46.0,415.0,14.0,8.0,5.0,1.0,9.0
Radeon R7 250,1.0,1000.0,1000.0,2013,65.0,46.0,415.0,14.0,8.0,5.0,1.0,9.0
Radeon R7 250,4.0,1000.0,1050.0,2013,65.0,46.0,415.0,14.0,8.0,5.0,1.0,9.0
Radeon R9 280,3.0,850.0,940.0,2014,66.0,52.0,550.0,38.0,28.0,16.0,3.0,27.33
GeForce GTS 450,1.0,783.0,783.0,2010,73.0,40.0,456.0,14.0,7.0,4.0,1.0,8.33
GeForce GTS 450,2.0,783.0,783.0,2010,73.0,40.0,456.0,14.0,7.0,4.0,1.0,8.33
Radeon HD 4870,1.0,750.0,750.0,2008,,,,14.0,9.0,5.0,,9.33
Radeon HD 4870,0.5,750.0,750.0,2008,,,,14.0,9.0,5.0,,9.33
Radeon HD 6950,2.0,800.0,800.0,2010,78.0,49.0,550.0,31.0,21.0,10.0,2.0,20.67
Radeon HD 6950,1.0,850.0,850.0,2010,78.0,49.0,550.0,31.0,21.0,10.0,2.0,20.67
Radeon HD 6850,1.0,775.0,775.0,2010,82.0,50.0,477.0,23.0,12.0,7.0,1.0,14.0
Radeon HD 6850,2.0,775.0,775.0,2010,82.0,50.0,477.0,23.0,12.0,7.0,1.0,14.0
GeForce GTX 590,3.0,630.0,630.0,2011,90.0,60.0,715.0,59.0,42.0,19.0,1.0,40.0
GeForce GTX 470,1.25,607.0,607.0,2010,95.0,60.0,565.0,26.0,14.0,8.0,1.0,16.0
Radeon HD 7970,3.0,1000.0,1000.0,2011,80.0,58.0,600.0,51.0,37.0,19.0,3.0,35.67
GeForce GTX 285,2.0,,,2008,86.0,60.0,554.0,19.0,12.0,7.0,1.0,12.67
Radeon HD 6970,2.0,890.0,890.0,2010,84.0,54.0,600.0,35.0,25.0,11.0,2.0,23.67
Radeon HD 7790,2.0,1075.0,1075.0,2013,74.0,38.0,435.0,23.0,13.0,8.0,1.0,14.67
Radeon HD 7790,1.0,1075.0,1075.0,2013,74.0,38.0,435.0,23.0,13.0,8.0,1.0,14.67
Radeon R7 265,2.0,900.0,925.0,2014,61.0,43.0,500.0,28.0,19.0,12.0,2.0,19.67
Radeon R7 265,1.0,925.0,925.0,2014,61.0,43.0,500.0,28.0,19.0,12.0,2.0,19.67
Radeon R9 285,2.0,965.0,965.0,2014,70.0,48.0,540.0,39.0,28.0,16.0,2.0,27.67
Radeon HD 6870,1.0,900.0,900.0,2010,86.0,59.0,501.0,28.0,14.0,9.0,1.0,17.0
Radeon HD 6870,2.0,900.0,900.0,2010,86.0,59.0,501.0,28.0,14.0,9.0,1.0,17.0
Radeon HD 7970 GHz Edition,3.0,1000.0,1000.0,2012,83.0,63.0,650.0,59.0,42.0,19.0,3.0,40.0
Radeon HD 7970 GHz Edition,6.0,1100.0,1100.0,2012,83.0,63.0,650.0,59.0,42.0,19.0,3.0,40.0
Radeon R9 Nano,4.0,1000.0,1000.0,2015,73.0,45.0,525.0,71.0,53.0,32.0,4.0,52.0
Radeon HD 6990,4.0,830.0,830.0,2011,84.0,66.0,725.0,55.0,40.0,18.0,2.0,37.67
