chipset,core_clock,boost_clock,memory_clock,memory,memory_ver,bus_width,shaders,TMUs,ROPs,PCIe,TDP,rec_psu,detail_URL,g3dmark,g2dmark,api_score,blender_score,no_benchmark,1080p_fps,1440p_fps,4k_fps,fps_score
GeForce RTX 3060,1320,1777,1875,8.0,6,128,3584,112,48,PCIe 4.0 x16,170,450 W,https://www.techpowerup.com/gpu-specs/geforce-rtx-3060-8-gb.c3937,0.575501066843891,0.8429517502365185,0.44134743470714083,0.19258752622229158,527.0,124.0,92.0,55.0,0.40117823959907617
GeForce RTX 4070 Ti,2310,2640,1313,12.0,6,192,7680,240,80,PCIe 4.0 x16,285,600 W,https://www.techpowerup.com/gpu-specs/geforce-rtx-4070-ti.c3950,0.7988495575221239,0.8898013245033112,0.7255084940312627,0.5546816066786321,377.0,,,,0.6720364571058022
GeForce RTX 4070,1920,2490,1313,12.0,6,192,5888,184,64,PCIe 4.0 x16,200,550 W,https://www.techpowerup.com/gpu-specs/geforce-rtx-4070.c3924,0.7265612648221343,0.8520529801324503,0.6904070664745028,0.4578102263494439,408.0,295.0,225.0,141.0,0.8219719090699957
GeForce RTX 4090,2235,2640,1313,24.0,6,384,16384,512,176,PCIe 4.0 x16,450,850 W,https://www.techpowerup.com/gpu-specs/geforce-rtx-4090.c3889,0.9632606946727762,0.9621854304635762,0.9861982701191978,0.9999999999999999,1057.0,369.0,281.0,176.0,1.0
Radeon RX 6600,1626,1626,1750,8.0,6,128,1792,112,64,PCIe 4.0 x8,132,300 W,https://www.techpowerup.com/gpu-specs/radeon-rx-6600.c3696,0.46787225856098497,0.8372753074739829,0.4066725870907843,0.07583310764183754,97.0,,,,0.3526617435286418
Radeon RX 6800 XT,1825,2250,2000,16.0,6,256,4608,288,128,PCIe 4.0 x16,300,700 W,https://www.techpowerup.com/gpu-specs/radeon-rx-6800-xt.c3694,0.7995732624435972,0.9631031220435196,0.7670548581116537,0.18432951264407912,91.0,236.0,176.0,100.0,0.6612287273321045
Radeon RX 6950 XT,1860,2368,2250,16.0,6,256,5120,320,128,PCIe 4.0 x16,335,700 W,https://www.techpowerup.com/gpu-specs/radeon-rx-6950-xt.c3875,0.8762394627304209,0.9464143803216651,0.7888886878219022,0.20896048792206218,76.0,,,,0.6638935625439111
Radeon RX 6700 XT,2321,2321,2000,12.0,6,192,2560,160,64,PCIe 4.0 x16,230,550 W,https://www.techpowerup.com/gpu-specs/radeon-rx-6700-xt.c3695,0.6466822903914092,0.9025543992431411,0.469715012311791,0.11840693936319804,134.0,163.0,122.0,70.0,0.4918107222543512
Radeon RX 7900 XTX,1929,2615,2500,24.0,6,384,6144,384,192,PCIe 4.0 x16,355,750 W,https://www.techpowerup.com/gpu-specs/radeon-rx-7900-xtx.c3941,0.9128643884011334,0.9284011352885524,0.8149053800501211,0.3024181887454154,239.0,,,,0.846820134759914
GeForce RTX 3060 Ti,1410,1710,1750,8.0,6,256,4864,152,80,PCIe 4.0 x16,200,550 W,https://www.techpowerup.com/gpu-specs/geforce-rtx-3060-ti.c3681,0.6891111966140824,0.8524124881740776,0.5620029871230774,0.2444499018433257,303.0,150.0,113.0,69.0,0.4670162644993724
GeForce RTX 4060 Ti,2310,2310,2250,8.0,6,128,4352,136,48,PCIe 4.0 x8,160,450 W,https://www.techpowerup.com/gpu-specs/geforce-rtx-4060-ti-8-gb.c3890,0.6229507852670608,0.836868495742668,0.6374751424263386,0.3285218966654273,118.0,225.0,168.0,103.0,0.6439438181399914
Radeon RX 6600 XT,1968,2602,2000,8.0,6,128,2048,128,64,PCIe 4.0 x8,160,450 W,https://www.techpowerup.com/gpu-specs/radeon-rx-6600-xt.c3774,0.5368498373500298,0.8921475875118259,0.4230613974892019,0.08238963685855799,51.0,135.0,101.0,59.0,0.4270732346434405
GeForce RTX 4080,2205,2535,1400,16.0,6,256,9728,304,112,PCIe 4.0 x16,320,700 W,https://www.techpowerup.com/gpu-specs/geforce-rtx-4080.c3888,0.8743086501801393,0.9253074739829705,0.915170351586517,0.7295404921145686,313.0,320.0,244.0,153.0,0.8824043537547809
Radeon RX 580,1257,1386,2000,8.0,5,256,2304,144,32,PCIe 3.0 x16,185,450 W,https://www.techpowerup.com/gpu-specs/radeon-rx-580.c2938,0.29388925810626465,0.67360454115421,0.2635227869050983,0.028164768562934265,10.0,71.0,51.0,29.0,0.2717032643772548
Radeon RX 7900 XT,1387,2560,2500,20.0,6,320,5376,336,192,PCIe 4.0 x16,300,700 W,https://www.techpowerup.com/gpu-specs/radeon-rx-7900-xt.c3912,0.8381524362517051,0.9285714285714286,0.8061137378245437,0.2696791508491356,88.0,,,,0.8179135323088468
Radeon RX 6750 XT,2150,2618,2250,12.0,6,192,2560,160,64,PCIe 4.0 x16,250,600 W,https://www.techpowerup.com/gpu-specs/radeon-rx-6750-xt.c3879,0.6260782118996817,0.8706527909176915,0.4564809969973712,0.12522817792752472,38.0,,,,0.49075843147818354
GeForce RTX 3070 Ti,1575,1830,1188,8.0,6,256,6144,192,96,PCIe 4.0 x16,290,600 W,https://www.techpowerup.com/gpu-specs/geforce-rtx-3070-ti.c3675,0.7996781979082864,0.8921475875118259,0.672011867759254,0.31222926583704,136.0,187.0,139.0,89.0,0.5565482098652619
Radeon RX 6700,1941,2425,2000,10.0,6,160,2304,144,64,PCIe 4.0 x16,175,450 W,https://www.techpowerup.com/gpu-specs/radeon-rx-6700.c3716,0.5380177690720207,0.8037086092715231,0.4035664908275316,0.10147089650782576,14.0,,,,0.46094260567157075
GeForce RTX 3050,1552,1550,1750,8.0,6,128,2560,80,32,PCIe 4.0 x8,90,250 W,https://www.techpowerup.com/gpu-specs/geforce-rtx-3050-8-gb.c3858,0.42719227674979887,0.8051087984862819,0.32745327574375327,0.12517921434877674,46.0,92.0,68.0,41.0,0.32566196030094885
GeForce GTX 1660 SUPER,1530,1815,1750,6.0,6,192,1408,88,48,PCIe 3.0 x16,125,300 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-1660-super.c3458,0.4276819755850152,0.7218543046357615,0.30019577766116334,0.06189455387294257,57.0,91.0,67.0,40.0,0.32242508592040336
Radeon RX 6800,1700,1700,2000,16.0,6,256,3840,240,96,PCIe 4.0 x16,250,600 W,https://www.techpowerup.com/gpu-specs/radeon-rx-6800.c3713,0.7052362796879919,0.9176915799432355,0.6239857909821176,0.14606371079662211,70.0,197.0,147.0,79.0,0.5651906644613185
GeForce RTX 3070,1500,1815,1750,8.0,6,256,5888,184,96,PCIe 4.0 x16,220,550 W,https://www.techpowerup.com/gpu-specs/geforce-rtx-3070.c3674,0.7551156039035993,0.8599810785241249,0.6220280143704839,0.28157730048489243,293.0,178.0,133.0,80.0,0.5306532148208977
Radeon RX 6650 XT,2055,2669,2190,8.0,6,128,2048,128,64,PCIe 4.0 x8,176,450 W,https://www.techpowerup.com/gpu-specs/radeon-rx-6650-xt.c3898,0.537787610619469,0.8303973509933775,0.41551641517001936,0.08850625892246465,54.0,,,,0.48205107801398994
RTX A6000,1410,1860,2000,48.0,6,384,10752,336,112,PCIe 4.0 x16,300,700 W,https://www.techpowerup.com/gpu-specs/rtx-a6000.c3686,0.7561299800622617,0.7303689687795649,0.8362733621281233,0.42979158346683555,8.0,,,,0.7308220869964502
Arc A750,2050,2050,2000,8.0,6,256,3584,224,112,PCIe 4.0 x16,225,550 W,https://www.techpowerup.com/gpu-specs/arc-a750.c3929,0.6357000944419182,0.8339451277199621,0.6104144960934103,0.1677743222752149,0.0,,,,0.5485445238306921
Radeon RX 7600,1720,2695,2250,8.0,6,128,2048,128,64,PCIe 4.0 x8,165,450 W,https://www.techpowerup.com/gpu-specs/radeon-rx-7600.c4153,0.5274241841267621,0.8424314096499528,0.41551641517001936,0.10080223763554878,139.0,,,,0.48508089895939266
Arc A770,2100,2100,2000,16.0,6,256,4096,256,128,PCIe 4.0 x16,225,550 W,https://www.techpowerup.com/gpu-specs/arc-a770.c3914,0.6394197068802686,0.8361589403973511,0.6270833402372172,0.16787680151542267,0.0,,,,0.6012754928235138
Radeon R7 240,730,780,900,2.0,3,128,320,20,8,PCIe 3.0 x8,30,200 W,https://www.techpowerup.com/gpu-specs/radeon-r7-240.c2463,0.012522298786246461,0.18732261116367077,0.02785290437169499,0.0029141285936589104,0.0,,,,0.08739668258531338
GeForce RTX 3080,1440,1740,1188,10.0,6,320,8704,272,96,PCIe 4.0 x16,320,700 W,https://www.techpowerup.com/gpu-specs/geforce-rtx-3080.c3621,0.8516562314176781,0.8921475875118259,0.8248496346829208,0.39753759102252784,370.0,232.0,173.0,105.0,0.6590600214971389
GeForce RTX 3090,1395,1800,1219,24.0,6,384,10496,328,112,PCIe 4.0 x16,350,750 W,https://www.techpowerup.com/gpu-specs/geforce-rtx-3090.c3622,0.9055930602679352,0.8883632923368023,0.9295402252452266,0.4771156473826672,435.0,246.0,187.0,117.0,0.702207556989811
GeForce GTX 1060,1506,1708,2002,3.0,5,192,1152,72,48,PCIe 3.0 x16,120,300 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-1060-3-gb.c2867,0.33456923991745074,0.6641438032166509,0.13884067331368827,0.027119702179032264,16.0,,,,0.30623861468144153
GeForce GTX 1650 G6,1410,1620,1500,4.0,6,128,896,56,32,PCIe 3.0 x16,75,250 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-1650-gddr6.c3541,0.24161845465039,0.6144465468306528,0.2324711777659077,0.07397783939028102,0.0,,,,0.2620772245935187
Radeon RX 6900 XT,1825,2365,2000,16.0,6,256,5120,320,128,PCIe 4.0 x16,300,700 W,https://www.techpowerup.com/gpu-specs/radeon-rx-6900-xt.c3481,0.87281821679667,0.9858088930936613,0.7859564848827352,0.19900405020602954,70.0,250.0,186.0,105.0,0.6924969338481743
Radeon RX 6500 XT,2310,2825,2248,4.0,6,64,1024,64,32,PCIe 4.0 x4,107,300 W,https://www.techpowerup.com/gpu-specs/radeon-rx-6500-xt.c3850,0.31270768477386407,0.804162724692526,0.2536935373188552,0.031182914159195895,21.0,,,,0.407464563228913
GeForce RTX 3080 Ti,1365,1800,1188,12.0,6,384,10240,320,112,PCIe 4.0 x16,350,750 W,https://www.techpowerup.com/gpu-specs/geforce-rtx-3080-ti.c3735,0.9228024764769667,0.9186376537369916,0.9162091793484841,0.4605078135160899,198.0,241.0,182.0,112.0,0.6860231850870834
Arc A380,2000,2250,1937,6.0,6,96,1024,64,32,PCIe 4.0 x8,75,250 W,https://www.techpowerup.com/gpu-specs/arc-a380.c3913,0.27746755745216695,0.6592809839167455,0.28070817661256897,0.047539710227420456,0.0,,,,0.33993723773043855
GeForce RTX 3090 Ti,1560,1860,1313,24.0,6,384,10752,336,112,PCIe 4.0 x16,450,850 W,https://www.techpowerup.com/gpu-specs/geforce-rtx-3090-ti.c3829,1.0000000000000002,1.0,0.9999999999999999,0.5023701432337689,151.0,,,,0.7308220869964502
Quadro RTX 8000,1395,1770,1750,48.0,6,384,4608,288,96,PCIe 3.0 x16,260,600 W,https://www.techpowerup.com/gpu-specs/quadro-rtx-8000.c3306,0.6513344293259645,0.7010406811731316,0.5772716263674161,0.26475142568170307,3.0,,,,0.5140060241962374
GeForce RTX 2060,1365,1755,1750,6.0,6,192,1920,120,48,PCIe 3.0 x16,160,450 W,https://www.techpowerup.com/gpu-specs/geforce-rtx-2060.c3310,0.4703907097135262,0.6546830652790918,0.34358979534170264,0.1399585645714845,179.0,107.0,76.0,45.0,0.3547938297258587
GeForce GTX 1050 Ti,1291,1455,1752,4.0,5,128,768,48,32,PCIe 3.0 x16,75,250 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-1050-ti.c2885,0.20319003812655217,0.5591296121097447,0.09090542122472045,0.01610825235216442,19.0,39.0,28.0,17.0,0.19942385945967306
Radeon RX 5700 XT,1605,1905,1750,8.0,6,256,2560,160,64,PCIe 4.0 x16,225,550 W,https://www.techpowerup.com/gpu-specs/radeon-rx-5700-xt.c3339,0.5731924866207282,0.846736045411542,0.37121059217696684,0.07110353195715075,92.0,122.0,91.0,54.0,0.3968731966729506
GeForce GTX 1080 Ti,1481,1632,1376,11.0,5,352,3584,224,88,PCIe 3.0 x16,250,600 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-1080-ti.c2877,0.6218825422365245,0.826868495742668,0.3149194687764905,0.06742361299187358,93.0,129.0,98.0,59.0,0.41736261150180387
GeForce RTX 2060 SUPER,1470,1665,1750,8.0,6,256,2176,136,64,PCIe 3.0 x16,175,450 W,https://www.techpowerup.com/gpu-specs/geforce-rtx-2060-super.c3441,0.559970618069887,0.7767265846736044,0.41689541032575783,0.18574563114818057,148.0,114.0,83.0,50.0,0.37528324455471196
GeForce GTX 1660 Ti,1500,1845,1500,6.0,6,192,1536,96,48,PCIe 3.0 x16,120,300 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-1660-ti.c3364,0.3948721536255203,0.6073793755912962,0.297814152504743,0.06360904418503949,70.0,96.0,71.0,42.0,0.33430441489700546
GeForce RTX 2070 SUPER,1605,1770,1750,8.0,6,256,2560,160,64,PCIe 3.0 x16,215,550 W,https://www.techpowerup.com/gpu-specs/geforce-rtx-2070-super.c3440,0.6178250376018748,0.7909176915799432,0.4721874621563799,0.1969437546190251,90.0,128.0,95.0,57.0,0.4108888627407128
GeForce GTX 1050,1354,1518,1752,2.0,5,128,640,40,32,PCIe 3.0 x16,75,250 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-1050.c2875,0.16037636853335197,0.3926206244087039,0.07787712428853993,0.01239926126200564,10.0,33.0,24.0,14.0,0.1854081933919109
GeForce RTX 4060,1830,1830,2125,8.0,6,128,3072,96,48,PCIe 4.0 x8,115,300 W,https://www.techpowerup.com/gpu-specs/geforce-rtx-4060.c4107,0.4659806219175207,0.7582970671712392,0.44152678466745787,0.26307442310958506,114.0,195.0,145.0,88.0,0.5705962446768295
GeForce GTX 1080,1607,1860,1251,8.0,5,256,2560,160,64,PCIe 3.0 x16,180,450 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-1080.c2839,0.5162824862709433,0.7852412488174079,0.25996044080248654,0.04625451574255562,62.0,109.0,80.0,48.0,0.36450445286749533
Quadro RTX 6000,1440,1770,1750,24.0,6,384,4608,288,96,PCIe 3.0 x16,260,600 W,https://www.techpowerup.com/gpu-specs/quadro-rtx-6000.c3307,0.6711322536639966,0.7350993377483444,0.64113147378194,0.2562508893775046,5.0,,,,0.5140060241962374
GeForce GTX 1070,1506,1683,2002,8.0,5,256,1920,120,64,PCIe 3.0 x16,150,450 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-1070.c2840,0.45391584175731925,0.7540208136234627,0.21553707665603677,0.04206506953593238,89.0,93.0,68.0,40.0,0.32566196030094885
GeForce GT 710,810,954,898,1.0,3,64,48,8,4,PCIe 2.0 x16,29,200 W,https://www.techpowerup.com/gpu-specs/geforce-gt-710.c2614,0.00461716044632551,0.1456953642384106,0.006388003067856134,0.0,2.0,,,,0.09277308453510119
GeForce GTX 1650 G5,1485,1755,2001,4.0,5,128,896,56,32,PCIe 3.0 x16,75,250 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-1650.c3366,0.24965126447234948,0.6177956480605487,0.21871858823545762,0.029130223228015725,0.0,,,,0.27370145040878346
GeForce GT 1030,1228,1506,1502,2.0,5,64,384,24,16,PCIe 3.0 x4,30,200 W,https://www.techpowerup.com/gpu-specs/geforce-gt-1030.c2954,0.07135611598866697,0.3680227057710501,0.04992330359665765,0.00496827313108315,1.0,20.0,14.0,8.0,0.15410761813203555
GeForce GTX 1650 SUPER,1530,1800,1500,4.0,6,128,1280,80,32,PCIe 3.0 x16,100,300 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-1650-super.c3411,0.3332400573647207,0.663197729422895,0.26468332458725224,0.04282936039795149,4.0,73.0,53.0,32.0,0.2792775504277314
Radeon RX 6400,1923,1923,2000,4.0,6,64,768,48,32,PCIe 4.0 x4,53,250 W,https://www.techpowerup.com/gpu-specs/radeon-rx-6400.c3813,0.22571618454650388,0.7937559129612111,0.22086594971390278,0.020390270324858045,4.0,,,,0.29450618081635827
GeForce RTX 2080 Ti,1350,1665,1750,11.0,6,352,4352,272,88,PCIe 3.0 x16,250,600 W,https://www.techpowerup.com/gpu-specs/geforce-rtx-2080-ti.c3305,0.7447269928993668,0.8325449385052035,0.7473761756751301,0.253427067984399,87.0,161.0,123.0,75.0,0.49614813392428225
GeForce GTX 1660,1530,1785,2001,6.0,5,192,1408,88,48,PCIe 3.0 x16,120,300 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-1660.c3365,0.3914092832907762,0.6963103122043519,0.2760465022403423,0.05797134712576143,28.0,85.0,63.0,38.0,0.3094775883982212
GeForce RTX 2080 SUPER,1650,1815,1937,8.0,6,256,3072,192,64,PCIe 3.0 x16,250,600 W,https://www.techpowerup.com/gpu-specs/geforce-rtx-2080-super.c3439,0.6650809752002519,0.826868495742668,0.5469664554151696,0.19800412212128582,42.0,145.0,110.0,67.0,0.45620510406835024
GeForce GTX 970,1050,1279,1753,4.0,5,256,1664,104,56,PCIe 3.0 x16,148,300 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-970.c2620,0.32120745741369056,0.6821192052980132,0.13490493682638355,0.02442823545972975,14.0,62.0,44.0,27.0,0.25228201809398165
GeForce GT 730,350,927,325,1.0,5,64,384,32,8,PCIe 1.0 x16,38,200 W,https://www.techpowerup.com/gpu-specs/geforce-gt-730.c1988,0.010738395886529785,0.16840113528855252,0.013220037944536389,0.001803236798577608,2.0,,,,0.11606143955953943
Radeon RX 5600 XT,1130,1620,1500,6.0,6,192,2304,144,64,PCIe 4.0 x16,150,450 W,https://www.techpowerup.com/gpu-specs/radeon-rx-5600-xt.c3474,0.46629822659064674,0.8079470198675496,0.3093387962701328,0.04572127176775351,14.0,105.0,78.0,46.0,0.3558619982714387
GeForce GT 1030 DDR4,1152,1417,1050,2.0,4,64,384,24,16,PCIe 3.0 x4,20,200 W,https://www.techpowerup.com/gpu-specs/geforce-gt-1030-ddr4.c3187,0.09488579523592991,0.43327341532639546,0.0508388006315602,0.005619641739614757,0.0,,,,0.18434519120013243
Radeon RX 570,1168,1286,1750,4.0,5,256,2048,128,32,PCIe 3.0 x16,150,450 W,https://www.techpowerup.com/gpu-specs/radeon-rx-570.c2939,0.2468015670362727,0.6269252601702933,0.23928268679610865,0.02394701528734735,1.0,59.0,43.0,25.0,0.24580826933289054
GeForce RTX 2070,1410,1845,1750,8.0,6,256,2304,144,64,PCIe 3.0 x16,175,450 W,https://www.techpowerup.com/gpu-specs/geforce-rtx-2070.c3252,0.5447549756899507,0.7313150425733208,0.4185908045049045,0.18522462806806547,71.0,120.0,89.0,53.0,0.39146761645743955
Radeon RX 5500 XT,1607,1845,1750,4.0,6,128,1408,88,32,PCIe 4.0 x8,130,300 W,https://www.techpowerup.com/gpu-specs/radeon-rx-5500-xt.c3468,0.3037182132988212,0.7228003784295176,0.22103701610624465,0.03696673689879993,8.0,,,,0.3039906327686557
GeForce RTX 2080,1515,1710,1750,8.0,6,256,2944,184,64,PCIe 3.0 x16,215,550 W,https://www.techpowerup.com/gpu-specs/geforce-rtx-2080.c3224,0.6375529049634475,0.8107852412488175,0.5117668429338392,0.19373357998736127,45.0,137.0,103.0,62.0,0.434647520693917
GeForce GTX 1070 Ti,1607,1683,2002,8.0,5,256,2432,152,64,PCIe 3.0 x16,180,450 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-1070-ti.c3010,0.4895239427751933,0.7729422894985809,0.240614782222581,0.04715728172572133,22.0,101.0,74.0,44.0,0.3450832065842221
RTX A4000,735,1560,1750,16.0,6,256,6144,192,96,PCIe 4.0 x16,140,300 W,https://www.techpowerup.com/gpu-specs/rtx-a4000.c3756,0.6465073979502606,0.8306527909176915,0.5230089210027045,0.2589959100110627,67.0,,,,0.53115504992522
RTX A2000,562,1200,1500,6.0,6,192,3328,104,48,PCIe 4.0 x16,70,250 W,https://www.techpowerup.com/gpu-specs/rtx-a2000.c3820,0.44153345692399176,0.8211920529801324,0.3539034432648448,0.1513341810152904,20.0,,,,0.313758583802225
TITAN RTX,1350,1770,1750,24.0,6,384,4608,288,96,PCIe 3.0 x16,280,600 W,https://www.techpowerup.com/gpu-specs/titan-rtx.c3311,0.687816992549582,0.7417218543046358,0.6754026561175472,0.27205770969800186,10.0,166.0,127.0,77.0,0.5079950941570789
RTX A4500,1050,1650,2000,20.0,6,320,7168,224,96,PCIe 4.0 x16,200,550 W,https://www.techpowerup.com/gpu-specs/rtx-a4500.c3849,0.7359823708419322,0.7871333964049196,0.6714871028942799,0.33636295476836403,9.0,,,,0.5707292534183479
Radeon HD 5450,650,650,667,1.0,3,64,80,8,4,PCIe 2.0 x16,11,200 W,https://www.techpowerup.com/gpu-specs/mobility-radeon-hd-5450.c3136,0.0042058134247437845,0.1323368022705771,0.0,0.0006975397331790984,0.0,,,,0.05824972941743281
Radeon RX 590,1469,1600,2000,8.0,5,256,2304,144,32,PCIe 3.0 x16,175,450 W,https://www.techpowerup.com/gpu-specs/radeon-rx-590.c3322,0.32040295218440656,0.7095553453169348,0.2871271141969079,0.041656866300357934,0.0,80.0,58.0,33.0,0.29329321649549356
Radeon PRO W6800,2075,2320,2000,32.0,6,256,3840,240,96,PCIe 4.0 x16,250,600 W,https://www.techpowerup.com/gpu-specs/radeon-pro-w6800.c3809,0.6400013991395291,0.8079470198675496,0.5662313809389254,0.13812931587169705,10.0,,,,0.556644364581751
GeForce GTX 1630,1740,1740,1500,4.0,6,64,512,32,16,PCIe 3.0 x8,75,250 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-1630.c3916,0.18418797439574663,0.5224976348155155,0.21674425856937587,0.06669325235981495,0.0,,,,0.23412341431868225
GeForce GTX 750 Ti,1020,1150,1350,2.0,5,128,640,40,16,PCIe 3.0 x16,60,250 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-750-ti.c2548,0.11941655881632797,0.41438032166508987,0.05339482501110079,0.0056996665886309625,1.0,25.0,16.0,10.0,0.16381824127367217
GeForce GTX 960,580,1304,700,0.5,3,256,96,48,16,PCIe 2.0 x16,140,300 W,https://www.techpowerup.com/gpu-specs/geforce-9600-gtx.c1942,0.19367588932806323,0.5780510879848628,0.0903503814636903,0.013783247417553749,4.0,38.0,27.0,16.0,0.19618698507912752
GeForce GTX 980 Ti,1000,1279,1753,6.0,5,384,2816,176,96,PCIe 3.0 x16,250,600 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-980-ti.c2724,0.46727762426107944,0.7511825922421949,0.20171154079037656,0.04147444636728499,9.0,84.0,62.0,37.0,0.3062407140176757
